#,サイト,ページ,ステップ,画像ファイル,差し替え後,画面タイトル,T-code,キャプション,callouts（見るべき点）,撮影メモ
1,sapeto,config.html,配置前的准备,config_prep_1.svg,config_prep_1.png,カスタマイジング（IMG）の前提確認（PS 含む）,SPRO,配置前的准备：SPRO（IMG）と前提 3 点,1) 依頼を指定しないと保存できない / 2) ETO は PS の権限が無いと何も始まらない,プロジェクトプロファイルが選べない場合は番号範囲（OPSA）と権限を確認してください。
12,sapeto,config.html,c4,,.png,条件（価格）の照会：PR00,VK13,VK13：条件レコードの照会（PR00）,1) 受注を保存する前に、ここで金額が決定できることを確認しておく,自システムでの確認：条件レコードが有効期間外だと受注時に金額 0 になります。VK13 の有効開始/終了日を見てください。
13,sapeto,config.html,c5,,.png,IMG：プロジェクトプロファイルの更新,OPSA,OPSA：プロジェクトプロファイル（予算・決済・ステータスを集約）,1) PS のトラブルはまずここに戻る。予算が使えない・決済できないはプロファイルが原因のことが多い,項目名は環境・バージョンで異なることがあります。迷ったら CJ20N のプロジェクトからプロファイルを逆引きし、どのプロファイルを使っているかを常に意識してください。
14,sapeto,config.html,c5,,.png,IMG：コーディングマスク（特殊文字）の編集,OPSK,OPSK：コーディングマスクと WBS の採番ルール,1) 採番のルールが腹落ちすると以降の練習が速い（WBS の ID を自分で読めるようになる）,自システムでの確認：WBS の採番（編集マスク）はプロジェクトプロファイルと番号範囲の組み合わせで決まります。CJ20N で WBS を 1 件作り、実際の ID を見るのが最短です。
15,sapeto,config.html,c5,,.png,カスタマイジング：WBS 要素のプロジェクトタイプ（V_TCJ1）,SM30,SM30：V_TCJ1（WBS 要素のプロジェクトタイプ）,1) WBS 詳細に「請求要素」が出ないときは、このタイプの項目選択を疑う,自システムでの確認：プロジェクトタイプの値と説明は環境ごとに異なるため、行の値は省略しています。CJ20N の WBS 詳細で使われているタイプと突き合わせて確認してください。
16,sapeto,config.html,c6,,.png,IMG：ユーザステータス（ステータスプロファイル）の照会,SM30,ユーザステータス（ステータスプロファイル）の照会,1) 予算・決済・請求の可否がステータスで変わる。プロファイルから参照先を特定して読む,本番環境ではステータス変更を行わないでください。練習では標準のまま使い、変更は発展課題とします。
17,sapeto,config.html,c6,,.png,プロジェクトビルダ：ステータスの変更（解放）,CJ20N,CJ20N：ステータスの変更（解放 REL）,1) 解放後に実績・確認が計上できるようになる。ここを忘れると CO11N や 261 が止まる,自システムでの確認：ステータスの名称・遷移はステータスプロファイル次第です。CJ20N の「ステータス」メニューに出る選択肢がこの環境の正解です。
18,sapeto,config.html,c7,,.png,IMG：ネットワークタイプの更新（番号範囲・パラメータ）,OPSC,OPSC：ネットワークタイプの設定（番号範囲・標準値）,1) 番号範囲に空きが無いと CN21 の保存で採番エラーになる,Public Cloud ではネットワークの利用範囲がスコープアイテム次第です（6GD は WBS 単位の計画・実行が中心）。Cloud 受講者は Test Script を優先してください。
19,sapeto,config.html,c7,,.png,ネットワークの登録（プロファイルと WBS 割当）,CN21,CN21：ネットワークの登録（WBS ZETO-1000.2 に割当）,1) 割当先は「製造」の勘定設定要素。ここを構造要素にすると指図・在庫の行き先にならない,自システムでの確認：保存後の採番結果（ネットワーク番号）を記録してください。CN23 で活動と作業区・日程を確認します。
20,sapeto,config.html,c8,,.png,元予算の変更：WBS 要素に予算を投入,CJ30,CJ30：元予算の変更（WBS ごとに投入）,"1) 予算の合計は受注金額 5,000,000 と計画原価 3,200,000。計画と予算を一致させておくと予実が読める",自システムでの確認：予算プロファイルがプロファイルに割当たっていないと、そもそも予算を投入できません（C5）。「Budgeted」でロックされた場合はステータス系の機能で解除が必要なことがあります。
21,sapeto,config.html,c8,,.png,予算の解放：実行可能にする,CJ32,CJ32：予算の解放,1) 解放されていないと購買・製造指図がブロックされることがある（可用性管理の対象になる）,自システムでの確認：CJ31 で「解放額」が 0 のままだと未解放です。解放後に CJBV で可用性管理を活性化すると、超過時の警告/エラーを体験できます。
22,sapeto,config.html,c8,,.png,元予算の照会：予算・解放額・使用額,CJ31,CJ31：元予算の照会（予算・解放額・使用額）,1) 使用額は「実績＋コミットメント」。発注しただけでも予算を食う点が ETO の予算管理の勘所 / 2) 実績・在庫が動くとここが増える（練習③・④の確認ポイント）,自システムでの確認：列見出しは画面の並びに合わせています。名称は環境により異なる場合があります。コミットメントは CJI5 で明細を確認できます。
23,sapeto,config.html,c8,,.png,可用性管理の活性化：予算超過時の挙動,CJBV,CJBV：可用性管理の活性化と許容範囲,1) 許容範囲は業務要件。100% でエラーにするか警告で止めるかを業務と合意してから設定する,自システムでの確認：予算超過の挙動は予算プロファイルの許容範囲に依存します。練習⑤ の発展 3 で実際に超過させて、警告かエラーかとメッセージ番号を記録します。
24,sapeto,config.html,c9,,.png,プロジェクトビルダ：プロジェクト定義（評価付プロジェクト在庫）,CJ20N,CJ20N：プロジェクト定義の評価付プロジェクト在庫,1) ここが MTO（受注在庫 E）との決定的な違い。数量だけでなく金額も持たせるフラグ / 2) プロジェクト作成直後に設定する。後から ON にすると既存在庫の扱いで不整合が起きる,自システムでの確認：① CJ20N / CJ03 で評価付フラグが見える ② MM03 の MRP4 個別所要量 ③ 戦略グループ → 所要量クラスの評価区分 M ④ 受注明細の WBS。この 4 点が揃うまで先へ進まないのが本教材の絶対ルールです。
25,sapeto,config.html,c9,,.png,プロジェクトビルダ：構造と WBS のフラグ,CJ20N,CJ20N：プロジェクト構造と WBS フラグ,1) 請求要素は 1 つの WBS にだけ立てる（受注明細がここを指す＝収益の宛先） / 2) 製造に使う WBS は勘定設定要素。構造要素だけでは指図/発注/在庫をぶら下げられない,自システムでの確認：WBS のフラグ名称（請求要素 / 構造要素 / 勘定設定要素 / 計画要素 / 統計）は詳細画面のタブ構成により表示位置が異なります。ここが ETO の骨格です。
26,sapeto,config.html,c10,,.png,受注伝票 変更：明細の WBS 要素,VA02,VA02：受注明細の WBS 要素（ここが ETO の肝）,1) ここに WBS が入ると需要がプロジェクト（WBS）に帰属し、所要量タイプが Q 系になる / 2) 項目が出ない/入力できない＝その明細カテゴリが WBS 割当を許していない（VOV7 を確認）,自システムでの確認：所要量タイプ（Q を示す値）と、WBS を割当てられる明細カテゴリは環境ごとに異なります。VA03 の明細と VOV7 / VOV4 で実測してください。
27,sapeto,config.html,c10,,.png,IMG：明細カテゴリの設定（WBS 割当と請求関連）,VOV7,VOV7：明細カテゴリ（WBS 割当・請求関連の許可）,1) 「明細に WBS が入らない」ときは、まずここ（VOV7）と決定キー（VOV4）を疑う,Public Cloud では明細カテゴリを新規作成できません。交付済みの明細カテゴリ（例 CBAO＝マイルストーン請求計画）から選びます。
28,sapeto,config.html,c10,,.png,受注伝票 照会：明細の WBS と所要量タイプ,VA03,VA03：明細の WBS 要素と所要量タイプ,1) 所要量タイプが Q 系なら需要はプロジェクト在庫として流れる。KE（MTO 用）なら MRP3 の戦略グループを疑う,自システムでの確認：所要量タイプの値は環境ごとに異なります（S/4HANA Cloud 6GD は E21 特別在庫 Q）。判定は OVZG の所要量クラスと突き合わせて行います。
29,sapeto,config.html,c11,,.png,請求計画の登録（日付ベース 2 行：30% / 70%）,VA02,VA02：請求計画（30% / 70% の 2 行）,1) 請求計画は「いつ請求できるか」の一覧。ここに無い日付では請求できない（KBA 2763512）,自システムでの確認：請求計画を登録するには明細カテゴリの請求関連が有効である必要があります（VOV7）。請求計画タイプに「出来高」を使う場合はマイルストーンと紐付けます。
30,sapeto,config.html,c11,,.png,請求伝票の登録（請求タイプ F2・請求計画の行）,VF01,VF01：請求（請求計画の行 1 で 30% を請求）,1) 請求日付が請求計画の行と一致していることが条件。VF01 はまずここで止まる,"自システムでの確認：出荷ベースで一括請求すると 5,000,000、請求計画ベースだと該当行の金額になります。どちらで運用するかを先に決めてください。"
31,sapeto,config.html,c11,,.png,請求伝票の登録：請求計画外の日付（エラー例）,VF01,VF01：請求計画外の日付で請求したときのエラー,1) 請求計画の日付・金額と、明細カテゴリの請求関連が噛み合っていないと出る（KBA 2763512）,対処：VA03 で請求計画の日付・金額を確認し、請求日付を合わせるか請求計画に行を追加します。明細カテゴリの請求関連（VOV7）も併せて確認します。
32,sapeto,config.html,c12,,.png,IMG：WBS の決済ルール（決済受信者）,CJB2,CJB2：WBS の決済ルール（決済受信者）,1) 決済ルールが無い＝月末に原価が WBS へ確定できない。プロファイルの既定と突き合わせる,「指図は KO88、受注は VA88、WBS は CJ88（一括は CO88 / CJ8G）」と整理して覚えます。決済タイプの値は環境で異なる場合があります。
33,sapeto,config.html,c12,,.png,WBS の決済：決済を実行する,CJ88,CJ88：WBS の決済実行,1) 実行後は CJIC（決済明細）と CJI3 を見て、何がどこへ流れたかを確認する,自システムでの確認：テスト実行で先に結果を見る癖をつけてください。決済後に CJI3 の残高が整理され、決済列がマイナス表示になることがあります（正常）。
34,sapeto,config.html,c12,,.png,決済明細の照会（決済で何がどこへ流れたか）,CJIC,CJIC：決済明細（決済の行き先）,1) 決済で WBS の原価・収益が外へ出る。CJI3 の「決済」列と突き合わせて動きを説明できるようにする,自システムでの確認：金額は決済対象（WBS に集まった原価・収益）と決済ルール次第で変わります。CJID（一括の決済明細）も同じ見方です。
35,sapeto,config.html,c13,,.png,結果分析の実行（WIP と認識収益の計算）,KKA2,KKA2：結果分析の実行,1) 結果分析キー／収益認識キー（工事進行基準・出来高・完了基準など）が何を使うかを最初に記録する,収益認識の会計ルール（IFRS15 など）は独立領域です。本站は「進捗 → 結果分析 → WIP/収益がどう動くか」を確認するところまで。一括は KKAJ、対象期間の管理は KKA0P 系です。
36,sapeto,config.html,c13,,.png,WIP の照会（仕掛品の金額）,KKAX,KKAX：WIP の照会（進捗と実績の差）,"1) 例：実績原価 3,000,000 / 計画原価 3,200,000 / 進捗 60% → 認識収益 3,000,000 で WIP 0。進捗 40% なら WIP 1,000,000",進捗の決定は CNE1（個別）/ CNE2（一括）、活動の実績は CN25 / CN27 が材料になります。ここで「原価・収益・WIP の 3 つがどこに出ているか」を自分の言葉で説明できるようにしてください。
37,sapeto,config.html,c14,,.png,プロジェクト MRP の実行（MD51）,MD51,MD51：プロジェクト MRP の実行,1) 計画手配の「勘定設定＝WBS」と「在庫区分＝Q」がこの実行の成果物。MD04 で確認する,入口の違いを意識する：MD50＝受注単位、MD51＝プロジェクト単位、MD01N＝全体 MRP（MRP Live。MRP リストを作らないため MD04 で確認。KBA 2640393 / Note 1914010）。
38,sapeto,config.html,c14,,.png,在庫/所要量リスト：計画手配の勘定設定と在庫区分,MD04,MD04：計画手配の勘定設定と在庫区分,1) ここが空／自由在庫なら C2（個別所要量）・C9（評価付在庫）・C10（受注明細の WBS）を疑う / 2) 得意先所要量に WBS が付いている＝需要がプロジェクトに帰属している証拠,列見出しは画面の並びに合わせています（名称は環境により異なる場合があります）。表で確認するなら PLAF（計画手配）を SE16N で参照します。
39,sapeto,config.html,c14,,.png,計画手配の明細：勘定設定と在庫区分,MD04,計画手配の明細：勘定設定と在庫区分,1) 在庫区分が自由在庫／空なら Q が成立していない。4 点セット（C2・C9・C10）を点検してから指図に進む,計画手配 → 製造指図の変換（CO40）や、受注紐づけの指図登録（CO08）でも、この勘定設定と在庫区分が引き継がれることが前提です。
40,sapeto,config.html,c15,,.png,移動タイプの整理（261 / 101 / 601 / 561）,MIGO,移動タイプの整理（261 / 101 / 601 / 561）,1) Q（プロジェクト在庫）が成立していると、101 の入庫先が自動的に特別在庫 Q になる,会計側では在庫・消費・差異の勘定が OBYC（BSX / GBB 系）で決まります。実機では CL20 / OMWD 系の設定と突き合わせて確認してください。
41,sapeto,config.html,c15,,.png,表の確認：MSPR（プロジェクト在庫の数量・金額）,SE16N,SE16N：MSPR（プロジェクト在庫の数量・金額テーブル）,1) MTO は MSKA（受注在庫 E）、ETO は MSPR（プロジェクト在庫 Q）。表で確認する癖をつける,自システムでの確認：数量・金額の項目名は表の項目（F1）で確認してください。移動の証跡は MATDOC（旧 MSEG）で移動タイプを追えます。
42,sapeto,config.html,c15,,.png,在庫概況：プロジェクト在庫 Q と自由在庫,MMBE,MMBE：プロジェクト在庫と自由在庫,1) 「Q に 1 式、自由在庫 0」が ETO の合格線。MTO の受注在庫 E と同じ意味を持つ,MB52 でも「プロジェクト在庫」欄に数量が出ます。評価付なら金額欄（または MB5B 在庫推移）で金額も確認してください。
43,sapeto,handson-1.html,1-1 プロジェクトと WBS の作成（CJ20N）,,.png,プロジェクトビルダ：プロジェクト定義の作成,CJ20N,CJ20N：プロジェクト定義の作成（評価付プロジェクト在庫 ON）,1) ETO の出発点。数量だけでなく金額を持つ在庫（Q）にするためのフラグ,自システムでの確認：WBS の ID はコーディングマスク＋番号で決まります（例 ZETO-1000.1）。採番された ID を必ず記録してください。
44,sapeto,handson-1.html,1-1 プロジェクトと WBS の作成（CJ20N）,,.png,プロジェクトビルダ：WBS 要素とフラグの確認,CJ20N,CJ20N：WBS 要素とフラグ（請求要素 / 勘定設定要素）,1) 請求要素は 1 つの WBS にだけ立てる。受注明細はここを指す（収益の宛先） / 2) 製造に使う WBS は勘定設定要素であること（構造要素だけでは指図/発注をぶら下げられない）,自システムでの確認：WBS 詳細に「請求要素」が見えない場合は項目選択の設定（プロファイルまたは SM30: V_TCJ1）を疑います。
45,sapeto,handson-1.html,1-2 ネットワークと活動の作成（CN21 / CJ20N）,,.png,ネットワークの作成（活動 0010 / 0020 / 0030）,CN21,CN21：ネットワークと活動の作成,1) 割当先は製造の勘定設定要素。ここが構造要素だと活動確認の原価が WBS に乗らない,ネットワークを省いても ETO は成立します（製造は製造指図で回せる）。ネットワークの価値は工程管理と活動確認（CN25）による進捗の材料です。
46,sapeto,handson-1.html,1-2 ネットワークと活動の作成（CN21 / CJ20N）,,.png,ネットワークの照会（活動・作業区・制御キー）,CN23,CN23：ネットワークと活動の照会,1) 0020 組立は CN25 で活動確認（実作業時間）を計上する対象。進捗（CNE1）の材料になる,制御キーの名称は環境により異なります（標準の「内部処理」「外部処理」系）。0030（外部処理）は購買依頼が生まれる発展課題です。
47,sapeto,handson-1.html,1-3 原価・収益計画（CJ40 / CJ42）,,.png,"計画収益の入力：WBS .1（請求要素）に 5,000,000 JPY",CJ42,"CJ42：計画収益（WBS .1 に 5,000,000 JPY）",1) 収益は請求要素（.1）に入れる。予実比較と POC（進捗）の分母になる,自システムでの確認：収益要素（原価要素の収益カテゴリ）が無いと計画収益を入力できません。計画バージョンは通常 0 です。
48,sapeto,handson-1.html,1-3 原価・収益計画（CJ40 / CJ42）,,.png,"計画原価の入力：WBS .2（製造）に 3,200,000 JPY",CJ40,CJ40：計画原価（費目別）,1) 費目別に入れておくと、後の CJI3（実績）との予実分析が楽になる,計画を入れないと実績が出ないわけではありません。計画は予実比較と収益認識（POC の分母）のために入れます。確認は CJI4（計画レポート）です。
49,sapeto,handson-1.html,1-4 予算の投入と解放（CJ30 / CJ32）,,.png,"元予算の投入：WBS .1 に 5,000,000 / .2 に 3,200,000 JPY",CJ30,CJ30：元予算の投入,"1) 予算は計画（収益 5,000,000 / 原価 3,200,000）に合わせておくと予実が読みやすい",自システムでの確認：予算プロファイルが未割当だと予算機能そのものが使えません（C5 を確認）。
50,sapeto,handson-1.html,1-4 予算の投入と解放（CJ30 / CJ32）,,.png,予算の解放と確認（CJ32 → CJ31）,CJ31,CJ31：予算の照会（解放額と使用額）,1) 解放額が 0 のままだと未解放。発注・指図がブロックされることがある,CJBV で可用性管理を活性化しておくと、予算を超えそうな発注・指図で警告/エラーが出ます（練習⑤ の発展 3）。
51,sapeto,handson-1.html,1-5 受注の登録と WBS の割当（VA01）,,.png,受注伝票 登録：初期画面,VA01,VA01：受注伝票登録の初期画面,1) 希望納期を WBS の終了日と合わせておくと、後の日程・請求計画が楽になる,自システムでの確認：受注タイプ OR の標準でも、品目側（MRP3 戦略グループ・MRP4 個別所要量）と WBS 割当で需要の行き先が決まります。
52,sapeto,handson-1.html,1-5 受注の登録と WBS の割当（VA01）,,.png,受注伝票 登録：明細概況（品目 ZETO-FG01 × 1 式）,VA01,VA01：明細概況（品目・数量・単価・WBS 要素）,1) WBS 要素に ZETO-1000.1（請求要素）を入れる＝ETO の肝。ここが空だと Q にならない / 2) 所要量タイプが Q 系なら需要はプロジェクト在庫として流れる。KE 等なら MRP3 の戦略グループを疑う,自システムでの確認：明細カテゴリ（標準は TAN）と所要量タイプの値は環境ごとに異なります。VA03 の明細で実測して記録してください。
53,sapeto,handson-1.html,1-6 明細・請求計画の確認と登録（VA03 / VA02）,,.png,受注伝票 照会：明細詳細（カテゴリ・WBS・所要量タイプ）,VA03,VA03：明細詳細（WBS 要素と所要量タイプ）,1) 所要量タイプが Q 系であることを実測で確認する（ここが E と Q の分かれ目）,自システムでの確認：納期行カテゴリ・所要量タイプの値は環境ごとに異なります。OVZG（所要量クラス）の評価区分と突き合わせて判定してください。
54,sapeto,handson-1.html,1-6 明細・請求計画の確認と登録（VA03 / VA02）,,.png,請求計画の登録（契約締結時 30% / 完成・検収時 70%）,VA02,VA02：請求計画（30% / 70%）,1) ETO は長期案件。請求計画が「いつ請求できるか」の一覧になる。ここに無い日付では請求できない,自システムでの確認：請求計画を保存できない場合は明細カテゴリの請求関連（VOV7）と金額 0 を疑います。練習④ の請求日付は必ずこの行に合わせてください。
55,sapeto,handson-2.html,2-1 計画と予算の再確認（CJI4 / CJI5 / CJ31）,,.png,計画原価・計画収益の照会（基準値の記録）,CJI4,CJI4：計画の照会（基準値）,1) MRP の前に基準値を記録する。後で「何が作られ、何が消費されたか」を説明するため,自システムでの確認：CJI4 の列構成はレイアウトにより異なります。費目別の内訳が必要なら原価要素別の表示に切り替えてください。
56,sapeto,handson-2.html,2-1 計画と予算の再確認（CJI4 / CJI5 / CJ31）,,.png,コミットメントの照会（MRP 前は 0）,CJI5,CJI5：コミットメントの照会（基準値 0）,1) 発注すると予定額がここに現れる＝予算を先食いする。CJ31 の使用額と併せて見る,コミットメントは「発注したがまだ在庫・費用になっていない金額」です。段階的に増える様子を CJI5 → CJ31 で追いかけると可用性管理の意味が見えます。
57,sapeto,handson-2.html,2-2 MRP の実行（MD51：プロジェクト MRP）,,.png,プロジェクト MRP の実行（処理キー NETCH / 計画モード 1）,MD51,MD51：プロジェクト MRP の実行,1) どの入口で回したかを必ず意識する（MD51＝案件単位、MD50＝受注単位、MD01N＝全体）,MRP Live（MD01N）は MRP リストを作りません。結果は MD04 または Fiori の「在庫/所要量リスト」アプリで確認します（KBA 2640393 / Note 1914010）。
58,sapeto,handson-2.html,2-2 MRP の実行（MD51：プロジェクト MRP）,,.png,MRP の結果一覧（例外メッセージ）,MD51,MD51：MRP の結果一覧（例外メッセージ）,1) ここで計画手配が出ない場合は、MRP タイプ・手配タイプ・ロットサイズ（MM03 の MRP1）を確認する,需要があるのに手配が出ないときは、MRP タイプ PD / 手配タイプ E / ロットサイズ EX（C2 の設定）を見直してください。
59,sapeto,handson-2.html,2-3 計画手配の確認（MD04）,,.png,在庫/所要量リスト：ETO の合格線を確認する,MD04,MD04：ETO の合格線（勘定設定と在庫区分）,1) 3 行目が 0 なのは正常（練習③ の 101 入庫で 1 式になる） / 2) 勘定設定が空／在庫区分が自由在庫なら、① 受注明細の WBS ② MRP4 の個別所要量 ③ 戦略グループ ④ 評価付在庫の 4 点を切り分ける,MD4C（受注レポート）や「プロジェクト/WBS 別」の表示も併用すると見やすくなります。表なら PLAF を SE16N で確認します。
60,sapeto,handson-2.html,2-3 計画手配の確認（MD04）,,.png,計画手配の明細：勘定設定（WBS）と在庫区分（Q）,MD04,計画手配の明細：勘定設定と在庫区分,1) ここが自由在庫／空のまま指図にすると、101 入庫も自由在庫に入ってしまう,自システムでの確認：表で裏を取るなら PLAF（計画手配）を SE16N で参照し、勘定設定（WBS）と在庫区分の項目を確認します。
61,sapeto,handson-2.html,2-4 製造指図の登録（CO40 / CO08）,,.png,計画手配 → 製造指図（個別変換）,CO40,CO40：計画手配から製造指図へ（個別変換）,1) 計画手配の勘定設定（WBS）と在庫区分（Q）を引き継ぐのがこのトランザクションの役割,どの入口で作ったか（CO40 / CO08 / MD04 からの変換）を必ず記録してください。片方だけだと差異の原因が追えません。
62,sapeto,handson-2.html,2-4 製造指図の登録（CO40 / CO08）,,.png,受注紐づきで製造指図を直接登録（別解）,CO08,CO08：受注紐づきの指図登録,1) 受注を起点にすると、WBS は受注明細から自動的に決まる（明細の WBS が前提）,CO40 と CO08 はどちらでも構いませんが、練習中はどちらで作ったかを記録します。CO08 で WBS が決まらない場合は受注明細の WBS（練習① の 1-5）を確認してください。
63,sapeto,handson-2.html,2-5 製造指図の確認（CO03）,,.png,製造指図の照会：ヘッダ（状態・勘定設定・入庫先）,CO03,CO03：製造指図のヘッダ（状態・勘定設定・入庫先）,1) 勘定設定が WBS であること＝指図の原価が WBS に集まる前提（空なら計画手配からの変換で落ちている） / 2) 入庫先がプロジェクト在庫 Q であること。自由在庫なら 101 入庫で Q にならない,自システムでの確認：勘定設定は表では AUFK-PS_PSP_PNR で確認できます（SE16N）。
64,sapeto,handson-2.html,2-5 製造指図の確認（CO03）,,.png,製造指図の照会：構成品目（BOM 展開の結果）,CO03,CO03：構成品目（BOM 展開の結果）,1) ここに出た予約が、練習③ の 261 出庫（部品 2 / 8）の対象になる,構成品目が 0 件のときは CS03 で BOM を確認し、必要なら CO02 で構成品目を再展開します（表なら RESB）。
65,sapeto,handson-3.html,3-0 指図の解放（CO02）,,.png,製造指図の変更：解放（REL）,CO02,CO02：製造指図の解放,1) 解放しないと 261 出庫・CO11N 実績・101 入庫ができない（練習③ の入口） / 2) 警告が出たら「なぜ出たか」を記録する。練習環境では継続して可,ネットワークを使う場合の活動確認は CN25（個別）/ CN27（一括）、取消は CN29 です。製造指図（CO11N）とネットワーク活動（CN25）で同じ工数を二重計上しないよう案件ルールを決めてください。
66,sapeto,handson-3.html,3-1 部品出庫（MIGO / 261）,,.png,品目出庫（A07）：参照「指図」で部品を 261 出庫,MIGO,MIGO：261 で部品を出庫（勘定設定は指図 = WBS）,1) 数量は指図の予約（構成品目）どおり。手で数量を変えると在庫差異の原因になる,自動出庫（バックフラッシュ）を ON にしている品目では、CO11N の保存時に自動で出庫されます。261 を手で打った後にバックフラッシュも効くと二重出庫になるため、どちらで運用するかを先に決めてください。
67,sapeto,handson-3.html,3-1 部品出庫（MIGO / 261）,,.png,部品在庫の確認（RM01 98 PC / RM02 492 PC）,MMBE,MMBE：261 出庫後の部品在庫,1) 100 → 98、500 → 492 が期待値。合わないときは二重出庫か初期在庫を疑う,取消は MBST（または MIGO の取消）。WBS への原価計上は CJI3 で確認します（261 は「指図に集計」→ 決済で WBS へ）。
68,sapeto,handson-3.html,3-2 製造実績（CO11N）と活動確認（CN25）,,.png,製造実績の入力（歩留 1 / スクラップ 0 / 実作業時間 32H）,CO11N,CO11N：製造実績（歩留 1・実作業時間 32H）,1) 実作業時間が労務費として指図に集計される（決済で WBS へ） / 2) 保存後に指図の状態へ CNF（確認済）が追加される。CO03 で確認する,歩留＋スクラップが指図数量を超えると「確認数量が指図数量を超過」で止まります。入庫は MIGO 101（自動入庫設定なら同時に転記されます）。
