#,サイト,ページ,ステップ,画像ファイル,差し替え後,画面タイトル,T-code,キャプション,callouts（見るべき点）,撮影メモ
20,sap_sd,config.html,c10,,.png,Display Sales Order: Item Data,VA03,VA03 の明細 10 で Deliver.Plant に入った値を確認する,1) 受注明細の出荷プラント。SE16N で VBAP を見れば「どの源泉が効いたか」を証拠として示せる / 2) 品目マスタを直しても変わらないときは、上位 2 つ（客先品目情報・得意先マスタ）に値が入っている証拠,自システムでの確認：XD03 の出荷タブ、MM03 の販売組織 1、VD53 の 3 か所を書き出してから VA01 で明細を投入する。想定外のプラントは ABAP 拡張（SAP Note 2787562）を疑う。
21,sap_sd,config.html,c11,,.png,Display Customer 1000: Sales Area 1000 / 10 / 00,XD03,XD03 の販売エリアデータで支払条件・インコタームズ・得意先価格決定手順を確認する（動画 51:22 付近の画面）,1) Incoterms FOB。納入条件は受注ヘッダに提案され、出荷・請求まで引き継がれる / 2) Cust.pric.proc. は与力価格決定の 3 つ目のキー（OVKK）。ここが変わると価格決定手順が変わる,自システムでの確認：XD03 → 得意先 1000 → 販売エリア 1000/10/00 → Sales / Shipping タブ。与信管理エリアと支払保証手続も同じ画面で読める。
22,sap_sd,config.html,c11,,.png,Display Customer 1000: Partner Functions,XD03,XD03 のパートナー機能タブで SP／BP／PY／SH の登録を確認する,1) SP／SH／BP／PY はここから受注へ自動提案される（KNVP → VBPA の対応で確認） / 2) 出荷先を変えると与力価格・出荷プラントは再決定、販売エリアと販売事務所は不変,自システムでの確認：VA01 で新規受注を作り、パートナーが自動提案されるかを見る。SE16N で KNVP と VBPA を並べると対応が読める。
23,sap_sd,config.html,c12,,.png,Display Sales Order: Item Conditions,VA03,"VA03 の条件画面（与力分析）で Net value 22,990.00 EUR の内訳を読む","1) PR00 が Net value 22,990.00 EUR の本体。ここが空なら受注ではなく条件レコードの問題 / 2) 与力日付 02.06.2007 が条件レコードの有効期間に入っているかを必ず確認する",自システムでの確認：明細の条件画面で条件タイプと金額を書き出し、VK13 の条件レコードの有効期間と突き合わせる。
24,sap_sd,config.html,c12,,.png,Display Condition Record,VK13,VK13 で条件タイプ PR00 の条件レコードを照会し、有効期間と金額を確認する,1) 条件レコードは 得意先 × 品目 × 有効期間 の組み合わせ。与力日付がこの期間に入るかで金額が決まる / 2) 手順（OVKK）→ 条件タイプ（V/06）→ 条件レコード（VK13）の 3 段。どの条件タイプを探すかは手順が決める,自システムでの確認：VK13 で PR00 を照会し、有効期間に与力日付 02.06.2007 が入るかを見る。手順は VOV8 の伝票タイプ OR → OVKK で確認する。
25,sap_sd,config.html,c13,,.png,Display Material T-ATA30,MM03 / OVZ2 / VOV6,C13 在庫確認（ATP）の最下位層：品目マスタ MRP3 の在庫確認,1) 品目マスタの在庫確認は 3 階層の最下位。伝票タイプや納入日程行カテゴリ側が OFF なら ATP は走らない / 2) 所要量タイプが空の明細（動画の TAN）は ATP の対象外。「在庫があるのに警告が出ない」の答え,自システムでの確認：MM03 で 品目 × プラント の MRP3 を開き、在庫確認の値を書き出す。伝票タイプ側は OVZ2、納入日程行カテゴリ側は VOV6、引ける数量は CO09、所要量の流れは MD04 で確認する。
26,sap_sd,config.html,c14,,.png,Incompleteness Procedure: Overview,OVA2,C14 不完全性手順（OVA2）：手順 → グループ → 項目の 3 階層,1) 動画の「Enter PO number」はこの 1 項目。手順 → グループ → 項目の 3 階層で必須が決まる / 2) 項目ごとの Warning にチェックが無ければエラー（保存不可）。運用は警告にして V.02 で管理するのが現実的,自システムでの確認：OVA2 で伝票タイプ OR に割り当てられた手順を開き、グループごとに項目（VBAP-POSEX など）を書き出す。割当先は 伝票タイプ（VOV8）・明細カテゴリ（VUP2）・納入日程行カテゴリ（VUE2）の 3 か所。
27,sap_sd,config.html,c14,,.png,List of Incomplete Sales Orders,V.02,C14 不完全な受注の一覧（V.02）：不完全なまま保存した受注をここで管理する,1) わざと不完全なまま保存した受注がここに出る。出ないときは不完全性手順が伝票タイプ・明細カテゴリに未割当 / 2) どの項目が欠けているかは VBUV（不完全性ログ）と VA03 の不完全性ログで見る。VBUK は伝票ヘッダの状態,自システムでの確認：伝票タイプの不完全性手順（VOV8）を外すと V.02 に出なくなる。SE16N で VBUV（不完全性ログ）・VBUK・VBUP（伝票／明細ステータス）も見ておく。
28,sap_sd,config.html,c15,,.png,Copying Control: Sales Document to Delivery Document,VTLA / VTFL,C15 コピー管理（受注 → 出荷）：何を引き継ぎ、何を再決定するか,1) 価格を「コピー」するか「再決定」するかがこの設定。Redetermine なら参照元の古い価格は引き継がれない / 2) 受注 → 出荷のコピー管理は VTLA（出荷 → 請求は VTFL）。OR → LF の行が無いと出荷が作れない,自システムでの確認：手顺ページは VTFL を「受注 → 出荷」と書いていますが、その T-code は VTLA です（VTFL は 出荷 → 請求）。VTFA（受注 → 請求）と合わせ、支払条件 ZB01・インコタームズ FOB がどこで決まるかを VA01 の参照コピーで追う。
29,sap_sd,config.html,c16,,.png,Display Outbound Delivery 80007832,VL03N,C16 出荷伝票 80007832 の照会（動画と同じ値で確認する）,1) 実出庫日 23.11.2000 が入ると在庫が減り、売上原価が計上される（OBYC）。計画 21.11.2000 との差が遅延の記録 / 2) 明細の ItCa は TAN。想定と違うときは明細カテゴリ決定（VOV4 の 4 キー）を疑う,自システムでの確認：VA03 の伝票フローで 受注 → 出荷 80007832 → 請求 が 1 本に繋がること。PGI 後に在庫が減ることを MB51／MM03 で、VC/2 で Open Sales Order／Delivery Value が動くことも見る。
30,sap_sd,handson-1.html,1-1 VA01 初期画面,,.png,Create Sales Order: Initial Screen,VA01,VA01 の初期画面（受注タイプ OR と販売エリア・得意先を入力する）,1) 受注タイプ OR ＝ Standard Order。伝票タイプが明細カテゴリ決定・価格決定手順・不完全性手順を決める起点 / 2) 得意先は複数の販売エリアを持ち得る。Enter 後に選択ダイアログが出るのはそのため,自システムでの確認：VA01 初期画面の F4 に自分の販売組織が出るか（出ない＝組織構造の割当未了）。得意先の販売エリアは XD03、PO 番号が必須かは V.02 で確認。
31,sap_sd,handson-1.html,1-1 VA01 初期画面,,.png,Sales area for customer,VA01,「Sales area for customer」ダイアログ（得意先が複数の販売エリアを持つ場合）,1) ここに出るのは得意先マスタ（KNVV）に登録済みの販売エリアだけ / 2) 選んだ販売エリアが、以降の与力条件・出荷条件・パートナー・出力の基準になる,自システムでの確認：XD03 の販売エリアビューで、その得意先が持つ販売エリアを確認する。
32,sap_sd,handson-1.html,1-2 概況画面,,.png,Create Standard Order: Overview,VA01,概況画面（Create Standard Order: Overview）。ヘッダの住所・支払条件・インコタームズは得意先 1000 のマスタからの提案値,1) PO Number はこの環境では必須。空のまま保存すると不完全性チェックで『Enter PO number』の赤いエラーが出る（動画 09:28 付近の症状がこれ） / 2) 与力価格日付がずれると条件レコードが拾われず Net value が 0 になる（C12）。納入希望日との関係は VOV6 の日付タイプ / 3) この時点の Net value 0.00 は正常（明細がまだ無い）。明細投入後も 0.00 なら条件レコード不在か有効期間外を疑う,自システムでの確認：提案値の出所は XD03（販売エリアビュー）と VOV8（伝票タイプの既定値）。PO Number が必須かは V.02 で確認。与力日付タイプは VOV6。
33,sap_sd,handson-1.html,1-3 明細の入力,,.png,Create Standard Order: Overview,VA01,明細概況（All items）グリッド。明細 10 に T-ATA30 / 10 PC を入れて Enter した直後の状態,1) ItCa は品目カテゴリグループ × 伝票タイプの決定テーブルで決まる。TAN にならない＝ VOV4 と MM03 販売組織2 の MTPOS を疑う（C8） / 2) Deliver.Plant が空なら 3 つの優先順位を順に確認：KNMT（客先品目情報）> KNVV（得意先）> MVKE（品目）。最下位の MVKE は販売エリア込みで見る（C10） / 3) 明細 20 は任意の追加。決定結果は明細詳細で確認する（ここではまだ空のまま＝決定前の状態）,自システムでの確認：T-ATA30 が F4 に出ない環境では、自分の得意先・品目に読み替える。決定結果は明細詳細の ItCa と Deliver.Plant、与力価格は条件で確認。
34,sap_sd,handson-1.html,1-3 明細の入力,,.png,Create Standard Order: Item Data,VA01,明細詳細（Sales A）。明細カテゴリ TAN と出荷プラント 1200 の決定結果を、数量・初回納入日と一緒に確認する,1) Item category TAN は「伝票タイプ × 品目カテゴリグループ」で決まる。手で変えられるが、変えた理由を説明できるようにする（C8） / 2) Deliver.Plant 1200 の出所は環境で違う。KNMT に値があればそれが最優先＝品目マスタを直しても変わらない（C10）,自システムでの確認：与力条件は Conditions、数量と初回納入日は「Order Quantity and Delivery Date」グループ。Net value が 0 でないことを条件画面（PR00 等）で確認する。
35,sap_sd,handson-1.html,1-4 保存と伝票フロー,,.png,Display Standard Order: Overview,VA03,"保存後の照会（VA03）。正味価額 22,990.00 EUR とヘッダのステータス、伝票フローで受注 1 件を確認する","1) 保存成功のメッセージに出る受注番号が、以降の VA03 / SE16N / V.02 で使う唯一の鍵。必ず記録する / 2) Net value が 22,990.00 ＝ 明細の与力価格が拾われた証拠。0.00 のままなら条件レコード不在か与力日付ずれ（C12） / 3) 伝票フローは今は受注 1 件だけ。出荷（VT01N）・請求（VF01）を作るとここに増えていく（練習④）",自システムでの確認：伝票フローは VA03 のメニュー／ボタンから開く。納入日程行は明細 → 納入日程行。不完全性は V.02（不完全な受注一覧）と VBUV / VBUK。
36,sap_sd,handson-1.html,1-5 証拠を取る,,.png,Data Browser: Table VBAP,SE16N,SE16N で VBAP を照会（受注 2 件）。明細カテゴリと出荷プラントの決定結果を 1 枚の表で確認する,1) 明細カテゴリ（PSTYV）と出荷プラント（WERKS）が伝票に保存された決定結果。VA03 の画面で見た値の答え合わせがこの表でできる / 2) 出荷プラント 1200 の出所は KNMT > KNVV > MVKE の順に確認。どこに値があるかで処置（マスタ修正か設定か）が変わる（C10） / 3) 絞り込みは VBELN（受注番号）で。VBAP には販売組織・チャネル・部門が無いので、MVKE / KNVV を見るときは必ず販売エリア込みで絞る,自システムでの確認：VBAP（受注番号）、MVKE（品目＋販売組織＋チャネル → DWERK）、KNVV（得意先＋販売エリア → ZTERM・出荷プラント）、KNMT（得意先×品目）。値 → 出所 → なぜその源泉が効いたかを 3 列の表にする。
37,sap_sd,handson-2.html,2-1 変更の 3 方式,,.png,Change Standard Order: Overview,VA02,VA02 の明細概況（All items）。変更の 3 方式のうち①「1 つの伝票内で複数明細を一括変更」の入口,1) 明細概況（All items）で Plnt を上書きすれば、明細 10 と 20 を同時に変更できる。動画のスライドが示す「1 伝票内の一括変更（Concurrent change to several items）」がこれ / 2) 複数の伝票をまたぐなら VA05（受注一覧、環境により MASS）、文書一覧からなら VA05 と V.02（不完全な受注）。1 伝票内の一括変更とは入口が違う,自システムでの確認：VA02 → 明細概況で Plnt を直接上書きできるか、メニュー「編集 → 一括変更」にどんな項目（プラント・納入日・数量など）が出るかを確認。② 複数伝票は VA05、③ 文書一覧は VA05 と V.02 で。
38,sap_sd,handson-2.html,2-2 プラント変更,,.png,Change Plant,VA02,VA02 の「Change Plant」ダイアログと受注ヘッダ（動画 38:00 付近）。プラントを変えると出荷ポイントが追随する,1) Plant を 1200 → 1000 に変えると、出荷ポイント・出荷タイプの決定・ATP の参照プラントが連鎖で再決定される。動画はこの連鎖をそのまま見せている / 2) Plant 以外の欄は受注ヘッダ（Sold-to / Ship-to / 納入希望日 / 正味価額 / 支払条件）。プラントを変えた後にここが動くかどうかが 2-3 の再決定の観察対象になる,自システムでの確認：明細の出荷プラント欄をダブルクリック／F4 で「Change Plant」ダイアログが出るか、変更後に出荷タブの出荷ポイントが追随したかを VA02 → VA03 で確認。VBAP-WERKS は SE16N（練習 2-5）で。
39,sap_sd,handson-2.html,2-3 得意先変更と再決定,,.png,Customer Change: Initial Screen,VA02,「Customer Change: Initial Screen」ダイアログ。得意先変更の入口（販売エリアと出荷プラントを指定する）,1) どの販売エリアの得意先マスタを見て変えるかをここで決める。「Customer's sales areas...」はその得意先が持つ販売エリアだけに絞り、「All sales areas...」は全販売エリアを出す / 2) 販売エリアの 3 項目は受注から初期値で入る。ただし動画では空のままで、得意先マスタ側（XD02）へ飛んでいる点に注意,自システムでの確認：VA02 で受注を開き、得意先変更のメニュー位置（環境により「Sales document → Customer change」等）と、このダイアログの 2 ボタン（All sales areas...／Customer's sales areas...）の違いを実際に開いて確認。
40,sap_sd,handson-2.html,2-3 得意先変更と再決定,,.png,Change Customer: Sales Area Data,XD02,XD02 の販売エリアデータ「Partner functions」タブ（SP / BP と Delivery and payment terms）,1) SP＝受注先、BP＝請求先。得意先を替えると、この役割に誰を入れるかが得意先マスタから再決定される（＝動画スライドの Redetermined 列） / 2) Incoterms と Terms of payment は受注の値の出どころ。ここを直すと次の受注から変わるが、既存受注は得意先変更をしないと追随しない,自システムでの確認：XD02 → 得意先 1000 → 販売エリアデータで、自分の販売エリア（1000 / 10 / 00）のパートナー機能・支払条件・インコタームズを開き、受注（VA03）の値と突き合わせる。
41,sap_sd,handson-2.html,2-4 ブロックの 3 階層,,.png,Blocks in the Sales Document,VA02,ブロックの 3 階層（ヘッダ／明細／納入日程行）。設定場所と効果の対応（動画の Blocks スライド）,1) ヘッダの Delivery block / Billing block は伝票全体を止める。止まった受注を見たら、まずヘッダ → 明細 → 納入日程行の順に上から確認するのが切り分けの定石 / 2) 同じブロックでも階層ごとに設定場所が違う。明細は請求タブ、納入日程行は明細の納入日程行から設定する（手で付けたか Customizing 由来かも見分ける）,自システムでの確認：VA02 のヘッダ Sales タブ（Delivery block / Billing block）、明細の請求タブ（Billing block）、明細の納入日程行（Delivery block）を実際に開いて F4 の理由一覧を見る。Customizing は動画スライドの “Defining blocks in Customizing”（伝票タイプに既定ブロックを持たせる）。
42,sap_sd,handson-2.html,2-5 証拠を取る,,.png,Data Browser: Table VBAP,SE16N,SE16N で VBAP（受注明細）を照会し、変更後の出荷プラント WERKS を確認する,1) VBAP-WERKS がプラント変更の物的証拠。VA03 の出荷タブ（出荷ポイント）と突き合わせて、値が 1 本の線で説明できるようにする / 2) 納入日程行は VBEP、パートナーは VBPA。同じ伝票番号で照会すると「どこまで連鎖したか」を表で示せる（変更の事実は VA03 の変更履歴でも）,自システムでの確認：SE16N にテーブル VBAP を入れて伝票番号で絞る（自分の受注番号に読み替え。ここでは例として 0000001234）。VBEP・VBPA も同じ伝票番号で。変更履歴は VA03 の環境メニュー、または CDHDR / CDPOS で確認。
43,sap_sd,handson-3.html,3-1 初期画面と照会,,.png,Sales Summary,VC/2,VC/2 の初期（選択）画面：得意先 1000 と販売エリアを指定する（到達経路は 3 通り）,1) 得意先 1000 は動画のデモ値（概念スライドの 5264 = FA IDES は例）。自分の得意先に読み替える / 2) 販売エリアで絞ると対象の伝票が限定される。まず絞らずに実行するのが切り分けの定石,自システムでの確認：コマンドフィールドに VC/2 ／ SAP メニュー → Sales and Distribution → Sales Support → Information system ／ 受注（VA03）の Environment メニュー「Sales Summary」の 3 通りを試す。実行後のタイトルは Sales Summary for Customer 0000001000 Becker Berlin。
44,sap_sd,handson-3.html,3-2 情報ビュー,,.png,Sales Summary,VC/2,Info View Selection：ビュー 001〜900 の一覧（実機ではユーザ固有の 900 も並ぶ）,1) 001 が既定（Standard フラグ付き）。ここに並ぶのは Report Views に定義されたビューだけ（出なければ C5 ①/③） / 2) 101 が Last SD Documents。自分の练习受注が出るかを見る本命のビュー,自システムでの確認：001 しか出ないときは「Maintain the Report Views for a User」に自分が割り当てられているかを見る。ビューを選んでも中身が空なら統計更新（文書カテゴリ C Order）を疑う。
45,sap_sd,handson-3.html,3-3 与信情報,,.png,Sales Summary,VC/2,"ビュー 100（Credit Information）：与信限度 511,291.88 EUR に対し使用額 1,472,653.29 EUR（動画 25:25 付近）",1) Credit Limit は FD32 で設定した与信限度額。Sales Summary は照会なのでここでは変更できない / 2) Usage Level − Credit Limit = Delta。マイナスは超過＝新しい受注に与信ブロックが付き得る状態,自システムでの確認：FD32 で Credit Limit / Credit limit used を突き合わせる。与信ブロックが出ないときは OVA8（与信管理の有効化）・OB45（与信管理領域）・得意先の与信区分を疑う（不完全性エラーは保存時に出るので症状のタイミングが違う）。
46,sap_sd,handson-3.html,3-3 与信情報,,.png,Change Customer Credit Management,FD32,FD32（得意先の与信）：Sales Summary の与信値の出所を確認しに行く画面,1) Credit limit が Sales Summary の Credit Limit の出所。値がずれるときは与信管理領域の取り違えを疑う / 2) Credit limit used が Usage Level と対応する（売掛＋出荷残＋受注残の合計）,自システムでの確認：FD32 で得意先と与信管理領域を指定。与信管理の有効化は OVA8、与信管理領域の定義は OB45。与信ステータスの照会は VA03 のヘッダ、与信解除の入口は VKM1。
47,sap_sd,handson-3.html,3-4 Last SD documents,,.png,Sales Summary,VC/2,ビュー 101（Last SD Documents）：受注 5 件と請求書 4 件の一覧（動画 31:53 付近）,1) 受注は Status が Open。自分の练习① の受注がここに出れば SIS の統計更新は生きている / 2) 請求書は番号の体系が違う（8 桁・9 始まり）。Completed と Being processed は請求処理の進み具合,自システムでの確認：受注番号をダブルクリックすると VA03 の伝票照会へ飛べる（ドリルダウン）。空のときは「Last Documents for a Customer」で C Order の統計更新を確認する。
48,sap_sd,handson-3.html,3-4 Last SD documents,,.png,Sales Summary,VC/2,ビュー 003（Statistical info）：2007 と 2006 の年度比較（動画 32:07〜32:09 付近）,1) 2007 と 2006 の 2 期比較。前年との差で受注と売上の傾向を読む（ビュー 003 の役割） / 2) 空欄は動画で数値が読めない行。自分の環境の統計データで埋めて、指標の定義を確認する,自システムでの確認：行の名称は動画の表記（Net value of incoming orders ／ Net sales ／ Open net value of orders ／ Net value of inc. returns ／ Net value of credit memos ／ Number of order items ／ No. of returns items）を図では短縮している。数値が出ないときはビュー 003 の割当（② Maintain Views for an Evaluation）と統計ファイルの更新を疑う（初期構築は講師に確認）。
