#,サイト,ページ,ステップ,画像ファイル,差し替え後,画面タイトル,T-code,キャプション,callouts（見るべき点）,撮影メモ
1,sapmts,config.html,配置前的准备,config_prep_1.svg,config_prep_1.png,カスタマイジング（IMG）の前提確認（標準原価含む）,SPRO,配置前的准备：SPRO（IMG）と前提 3 点,1) 依頼を指定しないと保存できない / 2) 見込生産は PIR と標準原価の前提が要る,標準価格をマーク・リリース（CK24）できなければ、会計期間と評価クラスを確認してください。
12,sapmts,config.html,c6,,.png,明細カテゴリの定義：TAN（標準）,VOV7,明細カテゴリ TAN（VOV7）の詳細,1) 特別在庫が空 = 自由在庫で売る（MTS）。ここに E を入れると受注在庫前提になり在庫が二重に見える / 2) 納入日程行許可 ON が C9 の割当が効く前提,自システムでの確認：SE16N: TVAP → SOBKZ（特別在庫）が空であること。姊妹站 sapmto（MTO）の同画面と並べると違いが一目で分かります。
13,sapmts,config.html,c7,,.png,明細カテゴリの割当：販売伝票タイプ別,VOV4,明細カテゴリの割当（VOV4）,1) 品目マスタ（販売組織2）の品目カテゴリグループが空だと、この行が効かず受注が保存できない / 2) 自建 Z001 / ZTAN は練習⑤。追加しないと標準 TAN のままになる,自システムでの確認：VA01 で受注を 1 件作り、明細の明細カテゴリが TAN か（表 TVAK / TVAP）。決定失敗時は「明細カテゴリを決定できません」で保存が止まります。
14,sapmts,config.html,c8,,.png,納入日程行カテゴリの定義：CP,VOV6,納入日程行カテゴリ CP（VOV6）,1) 所要量転送 OFF → MD04 に受注が出ない。MTS 教材で最頻出の故意犯 / 2) 在庫確認 OFF だと受注は保存できても確認済数量 0 になる / 3) 移動タイプを 601 以外にすると PGI で在庫が落ちない,自システムでの確認：SE16N: TVEP → BEDSD（所要量転送）/ ATPPR（在庫確認）/ BWART（601）/ BDART（所要量タイプ）。実機は VA03 → 明細 → 納入日程行。
15,sapmts,config.html,c9,,.png,納入日程行カテゴリの割当,VOV5,納入日程行カテゴリの割当（VOV5）,1) 品目の MRPタイプが空（MRP ビュー無し）だと別カテゴリになり、所要量転送も在庫確認も動かない / 2) 自建 ZTAN の割当を忘れると標準 CP が使われ、自建 ZCP の検証ができない,自システムでの確認：VA03 → 明細 → 納入日程行タブで納入日程行カテゴリ（表 VBEP の ETTYP）。
16,sapmts,config.html,c10,,.png,所要量クラスの定義,OVZG,所要量クラス（OVZG）：個別在庫欄が分水嶺,1) クラスに個別在庫があると入庫が受注在庫 E に行き、自由在庫が空のままになる / 2) 戦略 10/11 は消費しないので「独立所要量消減」フラグで PIR を減らす,自システムでの確認：どのクラスが実際に使われたかは VA03 → 納入日程行 → 所要量タイプ（例 KSV）→ OVZG / OVZH で引当て。表は SE16N: T459K。
17,sapmts,config.html,c11,,.png,所要量タイプとその決定（計画方針 / 所要量タイプ）,OPPS,所要量タイプの決定（OPPS / OVZH / OVZI）,1) 戦略グループが品目に入っていると OVZI の自建決定は効かない（優先順位が上） / 2) タイプ名（VSF / KSV）は環境で番号が違うことがある。OPPS / OVZH で読んだ値が正,自システムでの確認：OPPS（計画方針）・OPPT（一覧）・OVZH・OVZI。実機側は VA03 の納入日程行・MD04 の独立所要量明細・SE16N: PBED / VBEP-BDART。
18,sapmts,config.html,c12,,.png,計画方針グループ（戦略グループ）の一覧,OPPT,計画方針グループ（OPPT）：10 と 40 の対比,1) 练习に使うのは 40（受注が PIR を消費する）。10 は消費しないので比較用 / 2) 戦略グループを空にすると受注が PIR を消費しなくなる。品目に値が入っていることを確認する,自システムでの確認：OPPT の説明文（日本語 / 英語）、品目側は MM03 MRP3 → 戦略グループ、表は SE16N: MARC-STRGR。
19,sapmts,config.html,c13,,.png,在庫確認（ATP）の設定：品目 MRP 3 の在庫確認,MM02,品目 MRP3 の在庫確認（チェックルール 02）,1) チェックルールの番号の意味（01/02/…）は環境で異なる。F1 のヘルプで「何を見るか」を読む / 2) 在庫確認が空だと ATP が動かず、受注は常に「未確定」か「即納 OK」に偏る,自システムでの確認：MM03 の F1 ヘルプと OVZ2（チェックグループ × チェックルール）/ OVZ9（スコープオブチェック）。
20,sapmts,config.html,c13,,.png,利用可能在庫確認制御：スコープオブチェック,OVZ9,OVZ9：在庫 + 入庫予定 + 出庫予定を見る,1) 入庫予定を ON にしないと MTS の「先造り」が ATP に出てこない / 2) 個別所要量（受注在庫）は MTO 用。MTS では OFF,自システムでの確認：画面名と T-code はバージョンで異なるため、SPRO の検索窓で「在庫確認」を検索して自分の画面を確認してください。
21,sapmts,config.html,c14,,.png,MRP Live 実行：初期画面,MD01N,MD01N（MRP Live）の初期画面,1) 処理キーは NEUPL（総再計画）/ NETCH（ネットチェンジ）。F1 で意味を確認する / 2) 「MRP 結果の保存」を外すと逐次表示だけ出て計画手配が残らないことがある,自システムでの確認：OMDU（MRP パラメータ）と MD01N の F1。MRP Live と古典 MRP の差は SAP KBA 2640393 / SAP Note 1914010。
22,sapmts,config.html,c14,,.png,在庫/所要量リスト：MRP 実行後（計画手配の生成）,MD04,MRP 実行後の MD04：計画手配が生成されている,"1) 計画手配の在庫区分は空・受注参照なし = 自由在庫への補充（MTS） / 2) PIR の合計 -1,500 が 計画手配 1,800 で埋まり、各月末に安全在庫 100 が残っている",自システムでの確認：SE16N: PLAF（品目 + プラント）→ PLNUM / GSMNG / PEDTR。要素名はシステム言語で異なります。
23,sapmts,config.html,c15,,.png,自動転記の定義と MTS の出口（出荷・請求・棚卸）,OBYC,OBYC（自動転記）と MTS の出口,1) BSX は評価クラス別。会計1 の評価クラス（7920）と対応しているか確認する / 2) GBB に 601 の売上原価と棚卸差異の両方がぶら下がる。キー名は環境で確認,自システムでの確認：FB03 で 601 の会計伝票と請求の会計伝票、SE16N: MATDOC（移動タイプ 601）。出荷伝票タイプは 0VLP 系、請求タイプは VOFA。
24,sapmts,config.html,c15,,.png,棚卸伝票の作成,MI01,棚卸伝票の作成（MI01）,1) 在庫凍結を ON にすると棚卸中の在庫移動を止められる / 2) 帳簿在庫 300 PC が MI04 で入力する実地数量との比較対象になる,自システムでの確認：MI03（棚卸伝票の照会）・MMBE・FB03（差異の会計伝票）。転記科目は OBYC の BSX / GBB。
25,sapmts,config.html,c16,,.png,Public Cloud：設定と操作の対応（On-Premise との対比）,SSCUI,Public Cloud との差：設定アプリ・スコープアイテム・Fiori,1) Cloud では自建明細カテゴリ ZTAN・自建計画方針グループ Z040 は作成できない（キーを増やせないのが仕様） / 2) スコープアイテム（BJ5 / BJ8 / J44）の提供範囲を先に確認する。「設定に項目が無い」＝「その版本では未提供」,自システムでの確認：Road Map Viewer（SAP Best Practices）の版本別一覧、または「設定」アプリのスコープ画面。
26,sapmts,handson-1.html,1-1 前提确认（品目と戦略グループ）,,.png,品目マスタ 照会：MRP 3 ビュー（戦略グループの確認）,MM03,MRP3 の確認（戦略グループ 40 / 消費モード 2）,1) 戦略グループ 40 = 受注が PIR を消費する。空だと练习④ の「消費」が起きない / 2) 消費モード 2・逆 30 / 順 20。遠い未来の受注が当月の PIR を食べるかどうかはここ次第,自システムでの確認：SE16N: MARC → STRGR（戦略グループ）/ VRMOD・VINT1・VINT2（消費）/ DISMM（MRPタイプ）/ EISBE（安全在庫）。
27,sapmts,handson-1.html,1-1 前提确认（品目と戦略グループ）,,.png,在庫一覧：自由在庫と受注在庫（练习前）,MMBE,MMBE：自由在庫 0・特別在庫 0 から始まる,1) 入庫先が「非制限利用」＝ 自由在庫。ここが MTS の証拠（MTO なら特別在庫に受注番号付きで入る） / 2) 特別在庫（得意先別）は最後まで空のまま。MSKA に何も入らないことを確認する,自システムでの確認：MB52（プラント横断）と SE16N: MARD（LABST = 非制限在庫）。対照で MTO は MSKA に受注番号付きで入ります。
28,sapmts,handson-1.html,1-2 PIR の登録（MD61）,,.png,計画独立所要量 登録：初期画面,MD61,MD61 の初期画面（品目 / プラント / 版 00）,1) 版は必ず 00。00 以外で登録すると MRP が見ず、MD04 に何も出ない / 2) 期間区分は M（月）。W（週）や日で入れると数量の意味が変わる,自システムでの確認：品目・プラントが選べないときはプラント在庫ビュー（MARC）未登録を疑う。有効版は SE16N: T459U。
29,sapmts,handson-1.html,1-2 PIR の登録（MD61）,,.png,計画独立所要量 登録：計画テーブル（3 か月分）,MD61,MD61 の計画テーブル：各月 500 PC × 3 か月,1) 各月 500 PC = 月次の見込数量。期間の列を間違えると保存はできても MD04 に出ない / 2) 納入日が MD04 の表示期間外だと見えない。MD61 の日付と MD04 の期間を必ず突き合わせる,自システムでの確認：MD04 の「計画独立所要量」、MD73 の一覧、SE16N: PBED（PDATU / PLNMG / VERID）。列名は版により異なります。
30,sapmts,handson-1.html,1-3 PIR の変更と版（MD62 / MD73）,,.png,計画独立所要量 変更：本月の数量を 500 → 600,MD62,MD62 で本月の数量を 600 に変更,1) 変更が反映されないときは別の版・別プラントを編集している。ヘッダを毎回見る / 2) 「削除」と「0 にする」は違う。0 にすると需要行は残って数量 0 になる,自システムでの確認：MD04 で 600 に変わっていること（MRP はまだ未実行なので計画手配は古いまま = MRP を再実行する理由）。
31,sapmts,handson-1.html,1-3 PIR の変更と版（MD62 / MD73）,,.png,計画独立所要量の一覧（品目横断）,MD73,MD73 の PIR 一覧,1) MD04 / MD73 / SE16N: PBED の 3 つが一致することを確認する / 2) 版 00 以外（01 など）は MRP の対象外。照合は T459U,自システムでの確認：MD73 は複数品目・複数プラントをまとめて見られます。列構成は版本により異なる場合があります。
32,sapmts,handson-1.html,1-4 MD04 で独立所要量を確認（本练习的核心）,,.png,在庫/所要量リスト：PIR だけが並ぶ状態,MD04,"MD04：PIR 3 行と利用可能数量 -1,500","1) 受注番号も得意先も無い = 見込（PIR）の需要。行をダブルクリックすると版・需要タイプ・納入日が見える / 2) 利用可能数量 -1,500 = 需要に対して供給が足りない。このマイナスを消すのが练习② の仕事",自システムでの確認：MD73 / SE16N: PBED の数量と一致すること。要素名（「計画独立所要量」等）はシステム言語で変わるため、受注番号の有無で判断するのが確実です。
33,sapmts,handson-2.html,2-1 MRP 実行（MD01N / MRP Live）,,.png,MRP Live 実行：プラント 1000 / 品目 ZMTS-FG01,MD01N,MD01N の実行画面,1) 実行後に MD05 / MD06 を探しても無い。MRP Live は MRP リストを作らない（KBA 2640393） / 2) 「結果の保存」が外れていると逐次表示だけで計画手配が残らないことがある,自システムでの確認：実行ログ（処理品目数）と OMDU（MRP パラメータ）。単品目でやり直すときは MD02。
34,sapmts,handson-2.html,2-1 MRP 実行（MD01N / MRP Live）,,.png,在庫/所要量リスト：計画手配が生成された状態,MD04,MRP 実行後の MD04：計画手配 600 PC × 3,1) 数量が PIR と一致しないときは安全在庫・ロットサイズ・既存の入庫予定が効いている（正常）。2-2 で検算する / 2) ダブルクリックで計画手配の明細（数量・納入日・品目）が開く,自システムでの確認：SE16N: PLAF（品目 + プラント）→ PLNUM / GSMNG / PEDTR。
35,sapmts,handson-2.html,2-2 純所要量の検算（MD04 の読み方）,,.png,純所要量の検算：総所要量 − 入庫予定 + 安全在庫,MD04,純所要量の検算：500 − 0 + 100 = 600 PC,1) 安全在庫は「今あるべき在庫」ではなく純所要量に足される仮想在庫（需要 500 + 100 = 600） / 2) 計画手配は入庫予定（+）。指図に変換されると同じ行が「製造指図」になる,自システムでの確認：SE16N: PLAF（計画手配）/ PBED（PIR）/ MARD（自由在庫）/ MDTB（正味所要量計算の結果）。
36,sapmts,handson-2.html,2-3 部品への展開（従属所要量）,,.png,在庫/所要量リスト：部品 ZMTS-RM01（従属所要量）,MD04,"部品の従属所要量（RM01 1,000 PC / RM02 2,000 PC）","1) 従属所要量の行に指図番号が参照されている = BOM 展開が効いた証拠 / 2) 初期在庫 1,000 PC がちょうど消費される。练习③ の 261 出庫の前提",自システムでの確認：SE16N: RESB（指図の部品予約）/ MDTB（従属所要量）。要素名はシステム言語で変わるため、指図番号の参照有無で判断します。
37,sapmts,handson-2.html,2-4 計画手配 → 製造指図（CO40 / CO41）,,.png,計画手配の指図への変換,CO40,CO40：計画手配 → 製造指図（PP01）,1) 指図タイプは品目 MRP2 の伝票タイプ（PP01）。変換時に変更もできるが练习では変えない / 2) 変換で計画手配は消える（MD04 / PLAF で確認する）,自システムでの確認：CO03 でヘッダ確認。表は SE16N: AFKO（PLNUM = 元の計画手配番号）。
38,sapmts,handson-2.html,2-4 計画手配 → 製造指図（CO40 / CO41）,,.png,製造指図 照会：ヘッダと構成品目（状態 CRTD）,CO03,CO03：ヘッダ（CRTD）と構成品目,1) 受注明細参照が空であることが MTS の証拠（MTO はここに受注が入る） / 2) 状態はまだ CRTD。261 の前に 3-1 で解放（REL）する,自システムでの確認：SE16N: AUFK（AUFNR / AUART / STAT）/ AFPO（KDAUF・KDPOS が空）/ RESB（部品予約）。
39,sapmts,handson-2.html,2-5 ネットチェンジの実験（MRP は「全部は計算しない」）,,.png,在庫/所要量リスト：PIR 300 に変更後の再計算,MD04,ネットチェンジ：PIR 300 → 計画手配 400 PC,1) 前後の MD04 を比較するのが最も確実。実行ログの「処理品目数」がネットチェンジの根拠になる / 2) 総再計画（NEUPL）は全品目を再計算する。本番で常用すると負荷が跳ね上がる,自システムでの確認：MD01N の実行ログ（処理品目数）と MD04 の前後比較。MRP Live と古典 MRP の差は SAP KBA 2640393。
40,sapmts,handson-3.html,3-1 指図の解放（CO02）,,.png,製造指図 変更：解放前（状態 CRTD）,CO02,CO02：解放前の指図（CRTD）,1) 状態 CRTD では出庫できない。解放が 3-2 / 3-3 の前提 / 2) 解放する前後で MMBE の部品在庫は変わらないが、MD04 の予約（引当）は増える,自システムでの確認：SE16N: AUFK-STAT / JEST（ステータス詳細）、解放後は SE16N: RESB で予約が有効化されます。
41,sapmts,handson-3.html,3-1 指図の解放（CO02）,,.png,製造指図 照会：解放後（状態 REL）と部品予約,CO03,CO03：解放後（REL）と部品予約,1) 状態が REL になったことを自分の目で確認する（ここを見ずに 261 へ進むと失敗する） / 2) 解放後も予約数量が 0 のときは BOM の有効日か工程割当（C3）を疑う,自システムでの確認：MMBE の部品在庫は変わらないのに、MD04（部品側）の予約（引当）が増えることを確かめてください。
42,sapmts,handson-3.html,3-2 部品出庫 261（MIGO）,,.png,入出庫：指図への出庫（移動タイプ 261）,MIGO,MIGO：指図への部品出庫（261）,"1) 指図番号を入れると部品が自動展開される。数量は BOM の倍数（RM01 1,000 / RM02 2,000） / 2) 在庫不足なら「数量が在庫を超えています」。C1 の 561 初期在庫を追加する",自システムでの確認：SE16N: MATDOC（移動タイプ 261・指図参照）。バックフラッシュ ON の品目は CO11N で自動出庫されるため手動 261 と二重にならないよう注意。
43,sapmts,handson-3.html,3-2 部品出庫 261（MIGO）,,.png,在庫一覧：部品の減少（261 後）,MMBE,MMBE：261 で部品在庫が 0 になる,1) 部品が 0 になったことを確認してから実績・入庫へ進む（ここが欠品判定の基礎） / 2) 構成品目が出ないときは BOM の有効日か、指図作成後に BOM を変えたかを疑う,自システムでの確認：MB52（保管場所別）と SE16N: MATDOC（261 / 指図参照 AUFNR）。
44,sapmts,handson-3.html,3-3 実績（CO11N）,,.png,工程確認：歩留数量の実績,CO11N,CO11N：歩留 500 PC の実績,1) 歩留数量 500 がそのまま 3-4 の入庫上限になる（歩留を超えて入庫はできない） / 2) 作業時間を入れないと作業費の差異が「全部の作業費」になり比較の意味がなくなる,自システムでの確認：CO03 の状態（CNF）と実際原価、SE16N: AFRU（歩留 LMNGA / 作業時間 ISMNW）。手動 261 の出庫数量は MATDOC 側に別記録されます。
45,sapmts,handson-3.html,3-3 実績（CO11N）,,.png,製造指図 照会：状態 CNF（確認済）,CO03,CO03：状態 CNF（確認済）,1) CNF になっていることを確認してから 101 入庫へ。CRTD のままなら解放か保存を忘れている / 2) 「部分確認」と「最終確認」の区別。最終確認で状態が CNF、入庫 101 で DLV になる,自システムでの確認：CO03 → 明細 →「実際原価」で実績が計上されていること。不良を出す練習では歩留 490 にして差異の変化を見ます。
46,sapmts,handson-3.html,3-4 完成品入庫 101（MIGO → 自由在庫）,,.png,入出庫：指図への入庫（移動タイプ 101）,MIGO,MIGO：完成品入庫 101 → 自由在庫,1) 在庫タイプは非制限利用（自由在庫）のまま。品質検査/ブロックを選ぶと特定在庫に入る / 2) 歩留数量を超えて入庫はできない（歩留 490 なら 101 も最大 490）,"自システムでの確認：SE16N: MATDOC（101・指図参照）、FB03（在庫勘定 / 指図への入庫）。金額は標準価格 × 数量 = 8,000 × 500 = 4,000,000 JPY。"
47,sapmts,handson-3.html,3-4 完成品入庫 101（MIGO → 自由在庫）,,.png,在庫一覧：自由在庫 +500（特在区分は空）,MMBE,MMBE：自由在庫 500 PC・特別在庫は空,"1) 自由在庫 500 PC に入った = 誰でも使える在庫。MTS の核心 / 2) 金額欄で見ると 500 × 8,000 = 4,000,000 JPY（標準価格ベース）",自システムでの確認：SE16N: MARD（LABST = 非制限在庫）、対照で MTO は MSKA。MB52 でも同じ行が見えます。
48,sapmts,handson-3.html,3-5 標準原価との差異（「此处的金额」问题）,,.png,原価比較：目標原価と実際原価の差,CO03,"CO03：目標原価 4,000,000 と実際原価 4,150,000（差異 150,000）",1) 差異が 0 に見えるときは目標原価が未計算（CK11N 未実施 / 標準価格なし）or 実績未入力を疑う / 2) 差異を月末まで放置すると、KKS1 で「目標原価が無い」と言われる（標準価格未リリース）,自システムでの確認：品目の標準価格は MM03 会計1 / SE16N: MBEW-STPRS。差異カテゴリは KKS1・KKS2 実行後に見ます（练习⑤）。
49,sapmts,handson-4.html,4-1 受注登録（VA01）,,.png,受注伝票 登録：初期画面,VA01,受注伝票登録（VA01）の初期画面,"1) MTS の受注は標準の OR で始める（明細カテゴリは品目側の設定で TAN に決まる） / 2) 販売エリアが合っていないと条件レコード PR00（8,000 JPY）が効かない",自システムでの確認：明細カテゴリが TAN・納入日程行カテゴリが CP になるかは VA03 で確認します（C6〜C9 の答え合わせ）。
50,sapmts,handson-4.html,4-1 受注登録（VA01）,,.png,受注伝票 登録：明細概況（得意先 1000 / 200 PC）,VA01,明細概況：ZMTS-FG01 200 PC / 納入日 19.09.2026,1) 品目カテゴリは TAN。空だと「明細カテゴリを決定できません」で受注が保存できない / 2) 所要量タイプ KSV = 戦略 40 の得意先所要量。ここが空なら MRP に需要が立たない / 3) 希望納期は ATP のチェック日付。在庫 500 PC に対して 200 PC を引当てる,自システムでの確認：VA03 → 明細 → 明細カテゴリ（VBAP-PSTYV）/ 納入日程行（VBEP-ETTYP・BEDSD・ATPPR・BDART）。
51,sapmts,handson-4.html,4-2 在庫確認（ATP）の確認（CO09 / V_V2）,,.png,利用可能在庫確認：受注前後の利用可能数量,CO09,CO09：受注前後で 500 → 300,1) 入庫予定（製造指図・計画手配）が要素に並ぶか = C13 のスコープに「入庫予定」が入っている証拠 / 2) 利用可能数量の内訳に「在庫 + 入庫予定 − 出庫予定」が効いていることを確認する,自システムでの確認：受注側の結果は VA03 → 納入日程行の確認済数量、表は VBEP / VBBS。バッチは MDVP、納期再設定は V_V2。
52,sapmts,handson-4.html,4-2 在庫確認（ATP）の確認（CO09 / V_V2）,,.png,受注伝票 照会：納入日程行の確認済数量,VA03,VA03：納入日程行カテゴリ CP・確認済数量 200,1) 確認済数量 200 = 不足なし。分割納入になっていれば行が複数になる / 2) 納入日程行カテゴリ CP + 所要量タイプ KSV。VOV5 / VOV6 の答え合わせができる,自システムでの確認：V_V2 で納期再設定（引当の再計算）を実行し、確認済数量と日付の変化を見てください。
53,sapmts,handson-4.html,4-3 PIR の消費を MD04 で見る（見込生産の核心）,,.png,在庫/所要量リスト：PIR の消費（500 → 実効 300）,MD04,MD04：PIR 500 が消費済 200 で実効 300,1) PIR の行は消えない。消費済数量が増えるだけ（行をダブルクリックで消費明細が見える） / 2) 受注の行は別行で出る。需要は PIR と得意先所要量の 2 本に見えるが、MRP は消費済を差し引いて計算する,自システムでの確認：SE16N: PBED の PLNMG が減っていないこと（消費の証拠）。消費モードは MARC-VRMOD / VINT1 / VINT2。
54,sapmts,handson-4.html,4-4 出荷と PGI 601（VL01N / VL02N）,,.png,出荷伝票 登録：初期画面,VL01N,VL01N：受注から出荷伝票を作成,1) 出荷ポイントと出荷プラントが未設定だと出荷伝票が作れない（C0 / OVXD 系） / 2) 出荷日は納入日より前。PGI は出荷日で在庫を落とす,自システムでの確認：出荷タイプは 0VLP 系（IMG：ロジスティクス実行 > 出荷）で確認できます。
55,sapmts,handson-4.html,4-4 出荷と PGI 601（VL01N / VL02N）,,.png,出荷伝票 変更：引当と出庫確認（PGI 601）,VL02N,VL02N：自由在庫から 200 PC を引当てて PGI 601,1) 在庫区分が空 = 自由在庫からの引当て。ここが MTS（MTO なら E） / 2) ピッキング数量が 0 だと PGI できない。引当不足なら在庫か別受注の先取りを疑う,自システムでの確認：VL03N → 明細 → 在庫/引当。MMBE で自由在庫 500 → 300、SE16N: MATDOC（601・出荷伝票参照）。
56,sapmts,handson-4.html,4-5 請求（VF01）と伝票フロー（VA03）,,.png,請求伝票 登録：出荷ベースの請求,VF01,"VF01：請求 1,600,000 JPY（200 PC × 8,000）",1) 金額 0 のときは条件レコード PR00 の期限切れ / 販売組織不一致を疑う（C5） / 2) 会計伝票が出ないときは会計期間未開 or OBYC の勘定未設定,自システムでの確認：VF03（金額・税）、FB03（売掛金 / 売上）、表は VBRK / VBRP。コピー制御は VTFL（出荷 → 請求）。
57,sapmts,handson-4.html,4-5 請求（VF01）と伝票フロー（VA03）,,.png,伝票フロー：受注 → 出荷 → 請求 → 会計伝票,VA03,VA03 の伝票フロー：受注 → 出荷 → 請求 → 会計伝票,1) 4 本が一本につながっていれば、この経路の SD 設定は少なくとも正しい / 2) フローが途切れるときは PGI 未実施 or VTFL のコピー制御不備を疑う,自システムでの確認：表は VBFA（伝票フロー）。PGI 前後で伝票フローを見比べると状態の変化が分かります。
58,sapmts,handson-5.html,5-1 差異計算（KKS1 一括 / KKS2 単品目）,,.png,差異計算：差異カテゴリ別の内訳（単品目）,KKS2,KKS2：差異カテゴリ別の内訳,1) 「目標原価がありません」と言われたら標準価格が未リリース（C4 / CK24） / 2) 残差が大きいときは差異キー / バリアントの割当を見直す。無理に消さず原因を追う,自システムでの確認：設定側は OKV1（差異キー）/ OKVW / OKVG（差異計算バリアント）。T-code と画面名は版本で異なるため SPRO の検索で「差異」を探してください。
59,sapmts,handson-5.html,5-1 差異計算（KKS1 一括 / KKS2 単品目）,,.png,差異計算：一括（プラント / 指図タイプ / 期間）,KKS1,KKS1：一括の差異計算,1) 练习は KKS2（単品目）から。結果が読みやすく、原因の切り分けが速い / 2) ログの処理件数と差異合計を記録して 5-2 の決済に進む,自システムでの確認：再表示は同じ T-code の「照会」または CO03 → 明細 → 差異。差異カテゴリの定義は SAP Help Variance Categories。
