#,サイト,ページ,ステップ,画像ファイル,差し替え後,画面タイトル,T-code,キャプション,callouts（見るべき点）,撮影メモ
1,sapmto,config.html,配置前的准备,config_prep_1.svg,config_prep_1.png,カスタマイジング（IMG）の前提確認,SPRO,配置前的准备：SPRO（IMG）と前提 3 点,1) 依頼を指定しないと保存できない（未指定なら最初に作る） / 2) ① 依頼 ② SPRO 権限 ③ 番号範囲 —— この 3 点だけ先に確認,手顺の中の SPRO パスは日本語表記です。環境によってノード名が違う場合があるため、T-code を直接入力するのが速く確実です。
16,sapmto,config.html,c6,,.png,明細カテゴリの定義：ZTAK 詳細（特別在庫 E）,VOV7,C6 ZTAK 詳細：納入日程行許可 ON・請求関連 ON・特別在庫 E,1) 特別在庫 E ＝ この明細の在庫が受注在庫（得意先在庫）になる、という宣言です / 2) 納入日程行許可を OFF にすると納期行が作られず、MRP に需要が届きません,自システムでの確認：SE16N → TVAP で SOBKZ = E を確認。日中は「特別在庫」、英語では Special Stock Indicator です。
17,sapmto,config.html,c7,,.png,明細カテゴリの割当（4 键決定）,VOV4,C7 VOV4：OR + Z001 → 明細カテゴリ ZTAK を決定,1) 品目マスタ 販売組織2 の品目カテゴリグループが Z001 の品目だけが ZTAK を引きます / 2) 代替明細カテゴリに TAN を入れておくと、練習中に手で切り替えて比較できます,自システムでの確認：標準側の組み合わせ（OR + NORM → TAN など）は環境により異なります。
18,sapmto,config.html,c7,,.png,品目マスタ 変更：販売組織 2（品目カテゴリグループ）,MM02,C7 実測の準備：品目 ZMTO-FG01 の品目カテゴリグループを 0001 → Z001 に切り替える,1) ここを Z001 にすると、次に作る受注の明細カテゴリが自動で ZTAK になります（練習⑤ の課題） / 2) 元に戻すときは 0001 に戻すだけ。標準の OR + NORM → TAN は残っています,自システムでの確認：変更は新規明細にのみ効きます。既存受注明細の明細カテゴリは変わりません。
19,sapmto,config.html,c8,,.png,納入日程行カテゴリの定義：一覧,VOV6,C8 納入日程行カテゴリ：標準 CN / CP を比較して ZCP を作る,1) ZCP は「所要量転送 ON・在庫確認 OFF」で受け需求を MRP に渡すのが目的です,自システムでの確認：表 TVEP（納入日程行カテゴリ）。SE16N で ZCP の BEDSD / ATPPR / BDART を見られます。
20,sapmto,config.html,c8,,.png,納入日程行カテゴリの定義：ZCP 詳細（所要量転送 ON）,VOV6,C8 ZCP 詳細：所要量転送 ON・在庫確認 OFF・所要量タイプは空（戦略グループに任せる）,1) 所要量転送を OFF にすると、受注は保存できても MD04 に需要が出ず MRP が動きません（最頻出のつまずき） / 2) 所要量タイプを空にすると、戦略グループ 20 からの自動決定が効きます,自システムでの確認：SE16N → TVEP で BEDSD（所要量転送）・ATPPR（在庫確認）・BDART（所要量タイプ）の値を確認できます。
21,sapmto,config.html,c9,,.png,納入日程行カテゴリの割当（2 键決定）,VOV5,C9 VOV5：明細カテゴリ ZTAK + MRPタイプ PD → 納期行カテゴリ ZCP,1) 受注明細が ZTAK なら納期行は ZCP になる。この 2 段の決定が C6〜C9 の成果です,自システムでの確認：VA03 → 明細 → 納入日程行で、実際に使われた納入日程行カテゴリが ZCP かどうかを確認します。
22,sapmto,config.html,c10,,.png,所要量クラスの定義：一覧,OVZG,C10 所要量クラス：040（受注生産）と 046（評価付販売伝票在庫）を確認,1) 所要量クラスが「個別在庫（E）を使うか」「MRP へ転送するか」の実体です / 2) 受注在庫に金額を持たせるなら 評価区分 M のクラス（Cloud の MTO は 046）,自システムでの確認：F4 で全エントリを一覧できます。版本・有効化状況で標準値は変わります。
23,sapmto,config.html,c10,,.png,所要量クラスの定義：040 詳細,OVZG,C10 所要量クラス 040 の属性：個別在庫・MRP 転送・在庫確認・評価区分,1) 個別在庫が「受注在庫 E を使う」の根拠。ここが空だと計画手配が自由在庫に落ちます / 2) 評価区分が空だと受注在庫に金額が載りません。金額が必要なら 評価区分 M のクラス（Cloud の MTO は 046）を検討します,自システムでの確認：受注在庫に金額が欲しい場合は 評価区分 M のクラスを使ってください（Cloud の MTO は 046）。
24,sapmto,config.html,c11,,.png,所要量タイプの定義：KE（受注生産）,OVZG,C11 所要量タイプ KE → 所要量クラス 040 の連鎖,1) 戦略グループ 20 → 所要量タイプ KE → 所要量クラス 040 という連鎖が MTO の背骨です,自システムでの確認：OVZG の一覧から F4 で所要量タイプを辿れます。KE の値は環境で同じとは限りません。
25,sapmto,config.html,c11,,.png,所要量タイプの決定（明細カテゴリ + MRPタイプ）,OVZI,C11 OVZI：戦略グループが無いときの決定表（ZTAK + PD → KE を追加）,1) 起点を「戦略グループから決定」にしておくと、品目に戦略グループがある限りそちらが優先されます,自システムでの確認：標準側の行（TAN など）がこの表に無い環境もあります。まず現状の表を読んで記録してください。
26,sapmto,config.html,c12,,.png,計画方針の定義：20（受注生産・組立指図なし）,OPPS,C12 計画方針 20：所要量タイプ KE が割り当てられている,1) 品目マスタ MRP3 の戦略グループに 20 を入れると、この方針が選ばれます / 2) 計画独立所要量（PIR）は使いません。PIR の行が出てきたら設定ミスを疑います,自システムでの確認：OPPS で F4 一覧を開き、20 / 25 / 82 などの方針と所要量タイプの対応を記録しておくと現場で役立ちます。
27,sapmto,config.html,c12,,.png,計画方針の定義：82（組立処理）,OPPS,C12 計画方針 82：所要量タイプ KMFA・所要量クラス 201・指図タイプ PP04,1) 練習⑤ の発展 1 で使う方針。受注保存と同時に製造指図が作られます / 2) 1 受注明細 = 1 製造指図が強制されるのが 82 の特徴です,自システムでの確認：OPPJ で 計画方針グループ 82 が方針 82 を含むことを確認します。
28,sapmto,config.html,c12,,.png,計画方針グループの定義：20,OPPJ,C12 OPPJ：計画方針グループ 20 が方針 20 を含むこと,1) MRP3 の「戦略グループ」欄には方針ではなく、このグループを指定します,自システムでの確認：OPPJ の一覧で、受注生産用グループの番号が 20 かを確認してください。
29,sapmto,config.html,c13,,.png,品目マスタ 変更：MRP 3（在庫確認 02）,MM02,C13 ATP：品目 ZMTO-FG01 の在庫確認を個別所要量ベースにする,1) 個別所要量ベースなので、自分の受注の入庫だけが自分の受注への回答に使われます / 2) 値を迷ったら F4 で説明に「個別所要量」を含む項目を選びます,自システムでの確認：本教程の ZCP は在庫確認 OFF（MRP 需求传递を優先）。ATP を練習するときは ON に切り替えて比較してください。
30,sapmto,config.html,c13,,.png,在庫確認概要（ATP）,CO09,C13 確認：CO09 で受注の需求 10 PC と受注在庫 0 PC が見えること,1) 受注が出てこないときは在庫確認の対象範囲（チェックルール）を確認します,自システムでの確認：ZCP の在庫確認を ON にすると、納期行に確認済納入日付が入るようになります。
31,sapmto,config.html,c14,,.png,品目マスタ 変更：MRP 1 ビュー（MRPタイプ・ロットサイズ・手配タイプ）,MM02,C14 PP 側の確認：PD / EX / E（内製）で計画手配が作られること,1) ロットサイズ EX は「受注数量単位で手配」。受注 10 PC に対して計画手配も 10 PC になります / 2) 手配タイプ E（内製）が空だと計画手配が生成されません,自システムでの確認：バックフラッシュを ON にすると CO11N の報工で部品が自動出庫されます（練習③ の選択肢）。ON なら 261 の手動出庫は不要です。
32,sapmto,config.html,c14,,.png,品目マスタ 変更：MRP 2 ビュー（指図タイプ PP01）,MM02,C14 指図タイプ PP01 と、納期計算を簡単にする設定,1) 指図タイプ PP01 が、計画手配から変換される製造指図の種類になります,自システムでの確認：受注明細を参照する指図は CO08 / 計画手配の変換（CO40/CO41）で作られます。
33,sapmto,config.html,c15,,.png,出荷伝票の登録：初期画面,VL01N,C15 出荷の前提：出荷タイプ LF が出荷ポイントを決定できること,1) 出荷ポイントが決まらないと出荷伝票は保存できません（前提テストの最初の関門） / 2) 参照に受注番号を入れると納期行が提案され、受注在庫 E が引き継がれます,自システムでの確認：出荷前には受注在庫が入っている必要があります。この順序を飛ばすと PGI が失敗します。
34,sapmto,config.html,c15,,.png,コピー制御：出荷伝票 → 請求伝票,VTFL,C15 請求の前提：LF → F2 のコピー制御が有効であること,1) ここが有効でないと VF01 が出荷伝票を参照できず、請求が作れません / 2) 請求明細カテゴリは「伝票（伝票関連請求）」である必要があります,自システムでの確認：VF01 の請求タイプに F2 が表示されることを先に確かめておくと安全です。
35,sapmto,config.html,c16,,.png,自動転記の設定（MM の取引キー）,OBYC,C16 OBYC：受注在庫の入庫（101）と PGI（601）の勘定が決まる場所,1) 受注在庫も評価されれば 101 の入庫時に BSX で在庫勘定へ金額が載ります / 2) PGI 601 の売上原価は GBB 側で決まります。勘定は環境依存なので FB03 で実際の伝票を見ます,自システムでの確認：KO88 / CO88（決済）と KKS1 系（差異計算）。練習④ では FB03 で会計伝票を開いて金額を確認してください。
36,sapmto,config.html,c16,,.png,会計伝票の表示,FB03,C16 確認：受注在庫の入庫・出庫が会計伝票に載っていること,1) 受注在庫が評価されていない（評価区分が空）と、金額が 0 または勘定が出ないことがあります,自システムでの確認：判読が難しい場合は範囲声明のとおり「有設定・有伝票」を確認できれば十分です。深化は練習⑤ 以降の CO 課題です。
37,sapmto,handson-1.html,1-1 受注登録（VA01）,,.png,受注伝票の登録：初期画面,VA01,1-1 VA01 初期画面：伝票タイプ OR と販売エリア 1000 / 10 / 00,1) OR = 標準受注。ここを間違えると明細カテゴリの決定が変わります / 2) 受注日は今日、得意先希望納期は +30 日。この納期が MRP の所要日になります,自システムでの確認：VA01 の初期画面項目は「画面項目の選択」で追加できます。
38,sapmto,handson-1.html,1-1 受注登録（VA01）,,.png,受注伝票の登録：明細概況,VA01,"1-1 明細概況：品目 ZMTO-FG01 / 10 PC / 明細カテゴリ TAN / 120,000 JPY",1) 明細カテゴリが TAN であることを保存前に確認。違うなら C7（VOV4）へ戻ります / 2) 購買発注番号に客户单号 PO-MTO-0001 を入れると後で伝票を追いやすくなります,"金額は条件タイプ PR00 の条件レコード（12,000 JPY）から自動決定されます。"
39,sapmto,handson-1.html,1-2 明細与所要量タイプ的确认（VA03）,,.png,受注伝票の照会：明細詳細,VA03,1-2 VA03 明細詳細：明細カテゴリ TAN / 特別在庫 E / プラント 1000,1) 特別在庫 E が出ていれば、この明細は受注在庫に紐づくことが確定します / 2) 標準 TAN では空のこともあります。その場合も戦略グループ 20 + MRP4 で受注在庫は成立します,自システムでの確認：明細カテゴリ / 納入日程行カテゴリ / 所要量タイプ の 3 つを記録しておくと、後の排障で最初の証拠になります。
40,sapmto,handson-1.html,1-2 明細与所要量タイプ的确认（VA03）,,.png,受注伝票の照会：納入日程行,VA03,1-2 納入日程行：所要量タイプ KE / 所要量クラス 040 を確認,1) KE は戦略グループ 20 から決まった所要量タイプ。ここが空なら MTO の連鎖が切れています / 2) 040 は受注生産の所要量クラス（個別在庫・MRP 転送あり）,自システムでの確認：項目が見えないときは「表示の変更」で所要量タイプを追加するか、OVZG で 20 → KE → 040 の連鎖を直接確認します。
41,sapmto,handson-1.html,1-3 所要量転送的确认（MD04）——本练习的核心,,.png,品目在庫/所要量一覧,MD04,1-3 MD04：得意先所要量 -10 PC が出ていれば所要量転送は成功,1) 得意先所要量＝受注から MRP に渡った需求。数量が受注数量 10 と一致していれば伝達は正しい / 2) 受注在庫の行が出ていること自体が「この受注に専属の在庫を持たせる」対象になった証拠です,自システムでの確認：表示切替で「得意先別 / 受注別」にすると、特定の受注だけの在庫・需求を追えます。行が出ないときは ① TVEP-BEDSD（所要量転送）② VOV7 の納入日程行許可 ③ VOV5 の決定 を順に確認します。
42,sapmto,handson-1.html,1-3 所要量転送的确认（MD04）——本练习的核心,,.png,明細：得意先所要量,MD04,1-3 明細を開く：受注番号・明細番号・納入予定日まで確認する,1) 納入予定日は受注の希望納期。ここがずれていると MRP の所要日もずれます,自システムでの確認：項目名はバージョンにより異なります（所要量タイプが表示されない場合は「項目」で追加してください）。
43,sapmto,handson-1.html,1-4 受注在庫（特在 E）的确认（MMBE / MB52）,,.png,在庫概要,MMBE,1-4 MMBE：特別在庫（得意先在庫）0 PC（受注 0000001234 付き）が出現すること,1) 行そのものが出ていることが重要。この受注が「専属庫」を持つ対象として認識されています / 2) 自由在庫に数量があっても受注在庫には回りません（MTO は自分の入庫だけを使う）,自システムでの確認：数量 0 でも行が出れば OK。受注在庫の数量は表 MSKA（SOBKZ = E）に入ります（SE16N）。
44,sapmto,handson-1.html,1-4 受注在庫（特在 E）的确认（MMBE / MB52）,,.png,倉庫在庫一覧（特別在庫列つき）,MB52,1-4 MB52：一覧に特別在庫 E の行が見えること（列が無ければレイアウト変更）,1) MB52 は「表の一覧」で確認する入口。MMBE と両方で見ておくと排障が速くなります,自システムでの確認：表 VBBS（受注在庫の集計）と VBBE（個別所要量）を SE16N で見ると、受注番号でレコードを確認できます。
45,sapmto,handson-1.html,1-5 在庫確認（ATP）的确认（CO09）,,.png,在庫確認概要,CO09,1-5 CO09：受注の需求 10 PC と受注在庫 0 PC、利用可能数量 -10 PC,1) ここで見た「利用可能数量 −10」が、練習② の MRP 後にどう変わるかを比べます,自システムでの確認：ATP の検査範囲は在庫確認グループ / チェックルールの設定で決まります。
46,sapmto,handson-2.html,2-1 MRP の実行（MD01N：MRP Live）,,.png,MRP Live：実行画面,MD01N,2-1 MD01N：プラント 1000・処理キー NETCH・計画モード 1,1) 品目を指定すると単品目だけが処理対象になります（練習環境で結果を追いやすい） / 2) NETCH は「変更のあった品目だけ」を計画する処理キーです,自システムでの確認：S/4HANA の MRP Live は MRP リスト（MD05/MD06）を作りません。結果は必ず MD04 で確認します。
47,sapmto,handson-2.html,2-1 MRP の実行（MD01N：MRP Live）,,.png,MRP Live：処理結果,MD01N,2-1 MD01N 結果一覧：例外メッセージに赤い異常が無いこと,1) 赤い異常（例：10 開始日遅延）が出ていても、内容は MD04 で確認できます,自システムでの確認：MD02（単品目 MRP）でも同じ結果が得られます。結果は MD04 で見ます。
48,sapmto,handson-2.html,2-2 結果確認：計画手配が「受注在庫」で生成されたか（MD04）,,.png,品目在庫/所要量一覧（MRP 実行後）,MD04,2-2 MD04：計画手配 +10 PC の在庫区分が「受注在庫（E）」なら MTO 成功,1) 計画手配の在庫区分が受注在庫（E）＝ MTO 成功の証拠。受注番号・明細まで付いています / 2) 部品（RM01/RM02）の需要はこの段階では出ません。BOM 展開は指図の予約で起こります,自システムでの確認：MD13（計画手配の照会）で計画手配単体の「品目データ」「得意先データ（受注番号・明細）」を確認できます。
49,sapmto,handson-2.html,2-2 結果確認：計画手配が「受注在庫」で生成されたか（MD04）,,.png,計画手配の照会：受注明細参照,MD13,2-2 計画手配の詳細：品目・数量 10・在庫区分・受注 0000001234 / 000010,1) 受注番号が入っている計画手配は、その受注のためだけの補貨です（MTO のゴール）,自システムでの確認：項目名はバージョンにより異なります。在庫区分（特別在庫区分）が表示されない場合は「項目」で追加してください。
50,sapmto,handson-2.html,2-3 製造指図の登録（3 つのやり方）,,.png,計画手配の一括変換：対象一覧,CO40,2-3 CO40：計画手配 00000123 を選んで製造指図に変換する,1) 変換時に指図が受注在庫と受注明細参照を引き継ぎます。在庫区分が空の計画手配は選ばないこと,自システムでの確認：練習② の推奨経路は MD04 → 計画手配行 → 「指図への変換」（または CO40 に計画手配番号を入力）。
51,sapmto,handson-2.html,2-3 製造指図の登録（3 つのやり方）,,.png,製造指図の登録（受注明細参照）,CO08,2-3 CO08：受注 0000001234 / 明細 000010 から直接、指図タイプ PP01・数量 10 を登録,1) 受注番号と明細番号の入力が必須。これが無いと指図が受注在庫に入りません / 2) CO40 と CO08 を両方やると指図が 2 枚でき、在庫が二重になります（1 明細 = 1 指図が原則）,自システムでの確認：余分な指図は CO02 で削除フラグ / 技術完了（TECO）にして整理します。
52,sapmto,handson-2.html,2-4 製造指図の確認（CO03）— 证明「这张指图是这张受注的」,,.png,製造指図の照会：ヘッダ,CO03,2-4 CO03 ヘッダ：指図タイプ PP01・数量 10・受注明細参照 0000001234 / 000010,1) 販売伝票 + 明細が入っている＝この指図はこの受注のために作られた、という証明になります / 2) 状態はまだ CRTD。出庫・報工の前に練習③ で解放（REL）します,自システムでの確認：SE16N → AFPO で KDAUF / KDPOS を直接確認できます。
53,sapmto,handson-2.html,2-4 製造指図の確認（CO03）— 证明「这张指图是这张受注的」,,.png,製造指図の照会：構成品目,CO03,2-4 構成品目：ZMTO-RM01 20 PC / ZMTO-RM02 80 PC（261 出庫の根拠）,1) 予約数量が BOM × 10 PC になっていること。ずれていると在庫と原価が狂います,自システムでの確認：入庫予定は受注在庫（特別在庫 E）+ 受注番号を指します。MB31（指図への入庫）でも同じ入庫ができます。
54,sapmto,handson-2.html,2-5 部品側の確認（MD04 on RM01 / RM02）,,.png,品目在庫/所要量一覧：部品 ZMTO-RM01,MD04,2-5 MD04（RM01）：予約 -20 PC＋自由在庫 100 PC → 利用可能 80 PC、計画手配なし,1) 在庫で足りるので部品には計画手配が出ません（部品を購買で賄うのは練習⑤ の発展課題） / 2) 予約は「指図が部品を確保した」というサイン。指図番号 1000123 が根拠です,自システムでの確認：部品に計画手配が出た場合は初期在庫不足です。C1 の方法（561）で補充するか、そのまま購買フローに進めます。
55,sapmto,handson-3.html,3-0 指図の解放（CO02）,,.png,製造指図の変更,CO02,3-0 CO02：指図 1000123 を開いた状態（まだ CRTD）,1) 解放前は出入庫も報工もできません。「解放」＝現場への指示発行です / 2) 解放すると部品予約が活性化し、261 出庫の根拠になります,自システムでの確認：警告（構成品目不足・能力など）が出ても練習環境では継続できることが多いですが、「予約が作れない」場合は CO03 で構成品目数量を確認します。
56,sapmto,handson-3.html,3-0 指図の解放（CO02）,,.png,製造指図の変更：解放後,CO02,3-0 解放後：状態が REL になり、部品予約が有効になる,1) 状態が REL になったことを確認してから 261 出庫に進みます,自システムでの確認：解放のメニュー位置は「機能」→「解放」。以降は 261 → CO11N → 101 の順で在庫を動かします。
57,sapmto,handson-3.html,3-1 部品出庫（MIGO / 移動タイプ 261）,,.png,品目出庫（A07）：指図参照,MIGO,3-1 MIGO 261：ZMTO-RM01 20 PC・ZMTO-RM02 80 PC を指図 1000123 へ出庫,1) 移動タイプ 261 は「指図への出庫」。受注在庫用の指図でも部品は 261 です / 2) バックフラッシュを ON にしている場合は CO11N で自動出庫されるので、手動 261 と重複させないこと,自システムでの確認：MMBE で ZMTO-RM01 が 100 → 80 PC、ZMTO-RM02 が 500 → 420 PC になります。会計伝票は FB03 で確認できます。
58,sapmto,handson-3.html,3-1 部品出庫（MIGO / 移動タイプ 261）,,.png,在庫概要：部品,MMBE,3-1 確認：部品の自由在庫が RM01 80 PC / RM02 420 PC に減っていること,1) 出庫した分だけ自由在庫が減っていること。減っていない＝261 が指図に紐づいていません,自システムでの確認：SE16N → MATDOC（S/4HANA の在庫伝票）に移動タイプ 261 の行ができます。旧構造のシステムは MKPF / MSEG です。
59,sapmto,handson-3.html,3-2 製造実績（CO11N）,,.png,工程の確認入力（報工）,CO11N,3-2 CO11N：工程 0010・歩留数量 10 PC・実作業時間 8 H を転記,1) 歩留数量 10 PC ＝ 良品数量。ここが 10 でないと 101 入庫数量と合いません / 2) 報工は「いくつ作ったか」を記録するだけ。受注在庫への入庫は次の 101 で行います,自システムでの確認：実作業時間は標準時間 1H × 10 PC = 10H に対して 8H で入力する簡略化です（差異が見えるようにしています）。
60,sapmto,handson-3.html,3-2 製造実績（CO11N）,,.png,製造指図の照会：状態,CO03,3-2 報工後：指図の状態に CNF（確認済）が追加される,1) CNF が付いたら報工は成功。次は 101 で完成品を受注在庫へ入庫します,自システムでの確認：歩留 10 PC と実作業時間は「明細 / 実績」タブで確認できます。
61,sapmto,handson-3.html,3-3 完成品入庫（MIGO 101 → 受注在庫 E）,,.png,入庫（A01）：指図参照,MIGO,3-3 MIGO 101：入庫数量 10 PC・特別在庫 E・受注 0000001234 / 000010 が入っていること,1) この 2 つの欄（特別在庫 E / 受注番号）が入っていることが MTO の要。空なら自由在庫に入ってしまいます / 2) MB31（指図への入庫）でも同じ転記ができます。GUI の入口が違うだけです,自システムでの確認：転記後に MMBE で受注在庫が 10 PC になっていることを確認します（次の 3-4）。
62,sapmto,handson-3.html,3-4 受注在庫の確認（MMBE / MB52 / MD04）,,.png,在庫概要：受注在庫 10 PC,MMBE,3-4 MMBE：特別在庫（得意先在庫）10 PC（受注 0000001234 / 000010 付き）,1) 自由在庫が 0 のままであることを同時に確認。自由在庫に 10 入っていたら 3-3 の特別在庫が空だったということです / 2) 受注番号まで付いた 10 PC が受注在庫です。これが練習④ の出庫対象になります,自システムでの確認：MB52 でも同じ行が見えます。表 MSKA（特別在庫数量）に SOBKZ = E / KDAUF / KDPOS / 数量 10 のレコードができています（SE16N）。
63,sapmto,handson-3.html,3-4 受注在庫の確認（MMBE / MB52 / MD04）,,.png,品目在庫/所要量一覧（入庫後）,MD04,3-4 MD04：受注在庫 +10 / 得意先所要量 -10 / 製造指図 +10 に置き換わる,1) 需要（得意先所要量）と供給（受注在庫・指図）が同じ受注番号で揃っていること＝ MTO の在庫が成立,自システムでの確認：表示切替の「得意先別 / 受注別」で、この受注だけの在庫と需要を並べて見られます。
