#,サイト,ページ,ステップ,画像ファイル,差し替え後,画面タイトル,T-code,キャプション,callouts（見るべき点）,撮影メモ
1,sapvc,config.html,配置前的准备,config_prep_1.svg,config_prep_1.png,カスタマイジング（IMG）の前提確認（VC / AVC）,SPRO,配置前的准备：SPRO（IMG）と前提 3 点,1) 依頼を指定しないと保存できない / 2) AVC(PMEVC) が使えるかは最初に確認（設計方針が変わる）,S/4HANA の AVC では PMEVC が統合モデリング環境です。従来の CU41 系を使うかはプロジェクトで決めてください。
12,sapvc,config.html,c4,,.png,処理形式の一覧（F4）：BOM をどう扱うか,CU41,C4 処理形式 3 択の比較（本站は「受注 BOM」を採用）,1) 本站は 3 番目を選ぶ（練習③④ の前提）,自システムでの確認：CU41 の処理形式欄を F4 で一覧（ラベルはリリースで異なるため「BOM」を含む項目を探す）。CU43 で保存後の値を照会。
13,sapvc,config.html,c5,,.png,依存関係の登録：前提条件（Precondition）,CU01,C5 前提条件 ZVC_DEP_EPOXY_MAT（塗装 EPOXY は材質 SUS316 を要求）,1) $SELF ＝この依存関係が貼られている特徴値自身。BOM 明細の選択条件は $ROOT を使う / 2) 適用先は「特徴値 EPOXY」。特徴 ZVC_COATING 全体に貼ると塗装そのものが使えなくなる,自システムでの確認：CU03（照会）で「適用先 / 使用箇所一覧」。文法は依存関係エディタの構文チェック＋ CU50 の実挙動を正とする。
14,sapvc,config.html,c5,,.png,特徴 ZVC_COATING の許可値と依存関係の適用先,CT04,C5 前提条件は「特徴値 EPOXY」に貼る（特徴に貼ると症状が全く違う）,1) 依存関係が入っている行＝発火する値。CU03 の使用箇所一覧と一致するか確認する,自システムでの確認：CU03 の「適用先 / 使用箇所一覧」で、どの特徴値に貼られているかを見る（ここが見えないと発火しない）。
15,sapvc,config.html,c6,,.png,依存関係の登録：選択条件（Selection condition）,CU01,C6 選択条件 ZVC_DEP_PG（圧力計は付属品 PG / PG_FG のとき採用）,1) OR を書き忘れると PG_FG を選んだときに片方しか出ない（複数値特徴の定番症状） / 2) 適用先は BOM 明細（CS02 の 0070）。構成品目の品目マスタに書いても効かない,自システムでの確認：CU03 の使用箇所一覧に BOM 明細 0070 が出るか。CS03 の明細で選択条件欄を目視。
16,sapvc,config.html,c6,,.png,品目 ZVC-PUMP01 のスーパー BOM：選択条件の割当,CS02,C6 選択条件を BOM 明細（ケーシング 3 行・圧力計・流量計）に貼る,1) 行ごとに別 ID を作る（同じ構成品目でも条件が違えば行を分ける） / 2) 有効日が将来日付だと受注日に展開されない（「部品が出ない」の定番原因）,自システムでの確認：CS03 の BOM 明細で選択条件欄を行ごとに目視。CS02 の明細 → 「選択条件」欄から CU01 を起動できる。
17,sapvc,config.html,c7,,.png,依存関係の登録：手続き（Procedure）,CU01,C7 手続き ZVC_DEP_MTR_QTY（容量 120 のときモータ数量を 2 に）,1) 手続きは実行順に依存する。「A をセットしてから B」の式は評価順で結果が変わる / 2) 項目名を推測で書かない。CA03 / CS03 の画面で確認してから入力する,自システムでの確認：CU50 の構成結果で数量・標準値の差を目視。標準値の項目名は CA03 の標準値欄で確認してから書く。
18,sapvc,config.html,c7,,.png,設定シミュレーション：数量・標準値の差（容量 80 / 120）,CU50,C7 手続き（または行分割）の結果を CU50 で確認する,1) 容量 120 だけ数量 2・標準時間 1.4 倍（手続きの実行結果）,自システムでの確認：CU50 で 2 通りを構成して数量・標準値を比較。CU03 の使用箇所一覧で手続きの適用先を確認。
19,sapvc,config.html,c8,,.png,品目 ZVC-PUMP01 の BOM 登録：明細一覧（スーパー BOM）,CS01,C8 スーパー BOM＝全バリエーション分を 1 つの BOM に入れる（全部入れて、後で絞る）,1) 材質別ケーシングを 3 行。ここで削らず選択条件で取捨するのがスーパー BOM の設計 / 2) 付属品行は C6 の選択条件で取捨される,自システムでの確認：CS03（照会）で明細数と選択条件の有無。CS11 / CS12 / CS13 は多階層照会。
20,sapvc,config.html,c8,,.png,BOM 明細の照会：選択条件の確認,CS03,C8 保存後に CS03 で明細と選択条件を行ごとに目視する,1) 有効日が未来／過去だと CU50・VA01 で展開されない（特定の日付だけ部品が出ない症状）,自システムでの確認：CS03 の選択条件欄（行ごと）と有効日。CU50 の展開結果と一致するか。
21,sapvc,config.html,c9,,.png,作業手順 ZVC_RT01：工程一覧,CA01,C9 工程も「全部入れて選択条件で取捨」（塗装 NONE で 0030 が消える）,1) 塗装工程の選択条件。これが無いと塗装 NONE でも工程 0030 が出る,自システムでの確認：CA03（照会）で工程と選択条件。CU50 の「工程」ビューで取捨を確認。
22,sapvc,config.html,c9,,.png,作業手順の変更：工程 0030 の標準値と手続き,CA02,C9 標準値の手続き（組立標準時間 1.4 倍）は項目名を CA03 で確認してから,1) 項目名を推測で書かない：CA03 の標準値欄で確認してから手続きを割り当てる,自システムでの確認：CA03 の標準値欄で項目名を確認。指図側は CO03 → 工程で再評価されることを確認。
23,sapvc,config.html,c10,,.png,明細カテゴリの割当：決定キーの確認,VOV4,C10 販売伝票タイプ OR × 品目カテゴリグループ 0002 の行を実測する,1) VC 品目のキーは 0002。0001 のままにすると VC 用の明細カテゴリが決まらず BOM が展開しない / 2) 決まった明細カテゴリは環境差が大きい（TAN 系という記載／TAC 等の専用カテゴリ設計もある）,自システムでの確認：VA01 で受注を 1 件作り（保存しなくてよい）、VA03 の明細で実際の明細カテゴリを見る＝唯一の確実な答え。
24,sapvc,config.html,c10,,.png,明細カテゴリの属性（定義）,VOV7,C10 明細カテゴリの属性（構成入力 / BOM 展開 / 価格設定 / 納入日程行の許可）を確認,1) 構成入力が許可でないと構成ボタンが出ない / 2) BOM 展開が許可でないと受注で構成品目が出ない（処理形式と合わせて確認） / 3) 所要量転送が OFF だと MD04 に需要が出ない（故障表 #9 の第一嫌疑）,自システムでの確認：VOV7 の該当カテゴリの属性、VOV5 / VOV6 で納入日程行カテゴリ（所要量転送の有無）。所要量転送が OFF だと MD04 に需要が出ない。
25,sapvc,config.html,c11,,.png,戦略グループの定義（25 / 82）,OPPS,C11 戦略 25 → 所要量タイプ KEK、82 → KMFA（練習⑤で切替）,1) VC × 受注生産の入口。ここが 25 でないと受注在庫（E）にならない,自システムでの確認：OPPS の 25 / 82 のエントリと紐づく所要量タイプ、OPPJ で計画方針の属性（指図タイプ・所要量クラス）。
26,sapvc,config.html,c11,,.png,所要量クラスの属性（046 / 201）,OVZG,C11 この 1 画面が VC 受注生産の挙動を決める（在庫区分・評価・指図タイプ）,1) 在庫区分が受注在庫でないと、受注在庫（E）にならない（故障表 #3） / 2) 評価区分の有無が入出庫の仕訳と差異に効く（C15 と合わせて確認）,自システムでの確認：OVZG で 046 の属性（在庫区分・評価区分・指図タイプ）と 201（指図タイプ PP04）。評価まで見る場合は品目の会計ビューと合わせる。
27,sapvc,config.html,c12,,.png,品目 ZVC-PUMP01 の変更：MRP3 在庫確認（確認グループ）,MM02,C12 VC 受注生産は個別所要量ベースの在庫確認（02 系）が前提,1) 確認グループ＝ATP が何を見るか。環境に 02 が無ければ MM03 と OVZ2 の実測を正とする / 2) 在庫ゼロでも受注が通るのは MTO の正常動作（見込在庫を持たない）,自システムでの確認：MM03 の MRP3 で確認グループを確認（本站は 02 を仮定）。OVZ2 系で確認グループと確認規則（在庫・入庫・指図・購買のどれを見るか）を照会。
28,sapvc,config.html,c12,,.png,可用量照会：ATP 要素と確認の範囲,CO09,C12 受注がどう引当てられているかを CO09 で読む,1) 確認の範囲（Scope of Check）と確認数量。ここで納期の決まり方が見える,自システムでの確認：CO09 の「確認の範囲（Scope of Check）」と受注明細の納入日程行の引当タイプ・確認数量。構成品目の在庫（MMBE）と見比べる。
29,sapvc,config.html,c13,,.png,特徴の変更：追加データ（変種価格のキー）,CT04,C13 価格のキーに使う特徴に「追加データ」でテーブル / 項目を指定する,1) 価格のキーに使う特徴にだけ追加データを定義する / 2) 項目 VKOND に特徴値が飛ぶと、条件タイプ VA00 の条件レコードが引ける,自システムでの確認：SE11 で構造（SDCOM / MMCOM）と項目（VKOND）が存在するか確認。AVC は MMCOM-VKOND という記載。
30,sapvc,config.html,c13,,.png,条件タイプ VA00 と計算手続のステップ（V/08）,V/06,C13 条件タイプ VA00（変種条件）＋計算手続に VA00 のステップがあるか,1) ステップが無い／有効期間外だと条件画面に VA00 が出ない（加算が出ない第一嫌疑） / 2) 小計（X 系）との前後で表示桁が変わる＝設計の合意対象,自システムでの確認：V/06 で VA00 の属性（計算タイプ＝加算／小計など）と有効な販売組織、V/08 で受注の計算手続に VA00 のステップがあるか。
31,sapvc,config.html,c13,,.png,条件レコードの登録：VA00（特徴値ごとの加算）,VK11,C13 条件レコードはキー（特徴値）ごとに作る（VA03 の条件画面で加算が出る）,1) キーの値は特徴値と完全一致させる（大文字小文字・空白・全角に注意） / 2) 有効期間外だと VA01 の条件画面に VA00 の加算が出ない,自システムでの確認：VK13 の条件レコード一覧（キーの値と金額）。VA03 の条件画面で決定された条件レコードのキーを見る。金額は例（自システムの金額が正）。
32,sapvc,config.html,c14,,.png,出荷伝票の登録（在庫区分 E ＝受注在庫）,VL01N,C14 VC の出荷は受注在庫（E）から出る（構成品目は製造で消費する）,1) 在庫区分が E でない（自由在庫）と引当できない。受注在庫 0 なら 101 の入庫漏れ / 2) 出荷明細に構成品目は並ばない（親品目を出荷し、部品は製造で消費する設計）,自システムでの確認：VL01N 明細の在庫区分、PGI 後の MMBE（受注在庫が 0）、MB03 の資材伝票で 601 と会計伝票。
33,sapvc,config.html,c14,,.png,請求書の登録：変種価格（VA00）の加算,VF01,C14 請求に PR00 ＋ VA00 が乗るか（条件は出荷から請求へコピーされる）,1) VA00 の加算が出荷から請求へコピーされている（VC の変種価格が請求まで運ばれる証拠） / 2) 加算が無い場合は VTFL（コピー制御）か条件レコードの有効期間を確認,自システムでの確認：VF03 の条件タブ（VA00 の行）、VTFL のコピー制御（出荷 → 請求）、VA03 の伝票フロー。
34,sapvc,config.html,c15,,.png,自動転記の設定（在庫・消費・差異の勘定）,OBYC,C15 受注在庫（E）の入出庫と指図差異がどこに仕訳されるかを確認（見るだけ）,1) 評価クラスが品目の会計1ビューと一致していないと入庫でエラーになる / 2) 受注在庫（E）が評価されるかは環境差が大きい（Cloud の MTO は評価付が前提という記載）,自システムでの確認：MM03 の会計1（評価クラス・価格管理）と OBYC の BSX / WRX / GBB のエントリが評価クラスぶん存在するか。
35,sapvc,config.html,c15,,.png,資材伝票の照会 → 会計伝票（FB03）,MB03,C15 「在庫が動いているのに会計に来ない」を最初に疑う画面,1) ボタンがグレーアウトしていないか＝評価の有無の判定 / 2) 受注在庫（E）10 台の仕訳を 1 件提示できることが C15 の完了条件,自システムでの確認：MB03 の「会計伝票」ボタンがグレーアウトしていないか、FB03 で在庫勘定と相手勘定の組合せ。差異は KO88 後の FB03 系で確認。
36,sapvc,config.html,c16,,.png,スコープアイテムの確認（IYT / 7DM）,スコープと依存関係の管理,C16 Cloud はスコープアイテムを活性化しないと該当機能が現れない,1) IYT / 7DM の活性状態が Cloud で VC をやる前提,自システムでの確認：「スコープアイテムの確認」系アプリで IYT / 7DM の活性状態を見る（活性でないと機能自体が出ない）。
37,sapvc,config.html,c16,,.png,AVC モデリング環境（特徴グループ）— Cloud / On-Premise の差,PMEVC,C16 Cloud は AVC が前提（CU50 のクラシック画面は Fiori 系に置換という記載）,1) CU41 の知識だけで Cloud に挑むと詰まる（特徴グループ＋Fiori の学習が必要） / 2) 価格のキーが SDCOM-VKOND（LO-VC）から MMCOM-VKOND（AVC）に変わるという記載,自システムでの確認：PMEVC の起動可否、設定プロファイルの所在（CU43 と PMEVC）、Cloud はスコープアイテム（IYT / 7DM）と「製品設定」系アプリ。
38,sapvc,handson-1.html,1-1 特徴の設計（何を特徴にするかを先に決める）,,.png,特徴の設計表（決めてから CT04 へ）,CT04,1-1 特徴 4 つを先に設計する（データタイプは後から変えられない）,1) 容量を CHAR にすると大小比較（>= 120）が書けなくなる / 2) 材質は価格差が最も出る特徴 → 変種価格のキーに使う（C13）,自システムでの確認：CT04（照会）で 4 特徴の名称・データタイプ・許可値を一覧にする。SE16N は CABN（技術名称 ATNAM という記載）→ 項目名は SE11 で確認。
39,sapvc,handson-1.html,1-2 特徴の登録（CT04）,,.png,特徴の登録：基本データ（ZVC_CAPACITY）,CT04,1-2 CT04 は「変更」を押してから登録（照会モードでは登録できない）,1) 照会モードのまま登録しようとすると「変更できません」。初期画面で「変更」を押す / 2) 4 特徴を登録したら一覧に戻り、4 件並ぶことを確認する,自システムでの確認：CT04 の照会モードで ZVC_MATERIAL を開き、データタイプ CHAR・許可値 3 件・複数値 OFF を確認。
40,sapvc,handson-1.html,1-2 特徴の登録（CT04）,,.png,特徴 ZVC_ACCESSORY の許可値（複数値 ON）,CT04,1-2 付属品は複数値（複数選択可）の練習用特徴,1) 組合せ値 PG_FG を用意しておくと選択条件の判定が確実になる,自システムでの確認：CT04 照会で ZVC_ACCESSORY の「複数値」が ON、許可値 4 件。この 1 項目が C6 の選択条件の難易度を決める。
41,sapvc,handson-1.html,1-3 クラスの登録と特徴の割当（CL02）,,.png,クラス ZVC_PUMP_CL：特徴の割当と必須フラグ,CL02,1-3 クラス型 300 に 4 特徴を割当（必須：容量・材質・塗装＝ON／付属品＝OFF）,1) クラス型を間違えると品目の分類ビューにクラスが出ない（症状が出たら最初に見る） / 2) 付属品は任意。練習課題で必須に変えて元に戻せることを確認する,自システムでの確認：CL03 の特徴タブ、SE16N KLAH（CLASS / KLART = 300 という記載）と KSML（割当てた特徴という記載）→ 項目名は SE11 で確認。
42,sapvc,handson-2.html,2-1 設定可能品目 ZVC-PUMP01 の登録（MM01）,,.png,設定可能品目 ZVC-PUMP01 の登録（受注できる 5 条件）,MM01,2-1 KMAT で作成し、5 条件（KMAT / 設定可能 ON / 0002 / 戦略 25 / MRP4 個別所要量）を入れる,1) 設定可能 ON を忘れると構成画面が出ない（「構成が出ない」＝まずこの項目） / 2) MRP4 の個別所要量が無いと受注時に「受注在庫に割当できません」系のエラーになる,自システムでの確認：MM03 の基本データ1（設定可能 ON）／販売組織2（0002）／MRP3（25・02）／MRP4（1）／分類ビュー（ZVC_PUMP_CL）。
43,sapvc,handson-2.html,2-2 設定プロファイル ZVC_PROFILE01 の作成と割当（CU41 / PMEVC）,,.png,設定プロファイル ZVC_PROFILE01 の作成と品目への割当,CU41,2-2 処理形式＝受注 BOM／必須チェック ON。割当はプロファイル側で行う,1) 品目への割当はプロファイル側で指定する（品目マスタからは見えないことがある） / 2) 必須チェック ON で「値が足りない」エラーが出るのは正常（练习③で自動化する）,自システムでの確認：CU43 の照会（割当品目・クラス・処理形式・必須チェック）。AVC 環境は PMEVC で作成し特徴グループを割り当てる。
44,sapvc,handson-2.html,2-2 設定プロファイル ZVC_PROFILE01 の作成と割当（CU41 / PMEVC）,,.png,設定プロファイルの照会（証跡）,CU43,2-2 CU43 で割当・処理形式・必須チェックの状態を確認して証跡にする,1) 証跡は「割当品目・クラス・処理形式・必須チェック」の 4 点を写す,自システムでの確認：CU43 の一覧と品目側の設定を両方見る（割当はプロファイル側なので品目マスタからは見えないことがある）。
45,sapvc,handson-2.html,2-3 初めての設定（CU50 シミュレーション）,,.png,設定シミュレーション：初回の構成（依存関係ゼロ）,CU50,2-3 値はまだ全部手で選ぶ（BOM・工程が空でも正常）,1) 必須チェックが効いている（未入力のまま確定できない）＝正常動作 / 2) BOM も工程も何も出ないのが「何も設定していない状態の正しい姿」,自システムでの確認：CU50 で 4 特徴が出て値が選べるか、必須 3 特徴を空のまま確定するとエラーになるか。
46,sapvc,handson-3.html,3-1 部品品目の準備（MM01）,,.png,部品品目の登録（スーパー BOM の構成品目 8 品目）,MM01,3-1 部品 8 品目を MM01 で作成し、初期在庫を 561 で入れておく,1) 手配タイプを空にすると計画手配・所要量が出ない / 2) 初期在庫 100 PC を 561 で入れておくと練習④の入出庫で詰まらない,自システムでの確認：MM03 で各品目の基本データと MRP1（手配タイプが空でないこと）、MMBE で自由在庫。MIGO の 561 で初期在庫 100 PC・保管場所 0001。
47,sapvc,handson-3.html,3-2 スーパー BOM の登録（CS01）,,.png,スーパー BOM の登録：「全部入れて、後で絞る」,CS01,3-2 8 明細（材質別ケーシング 3 行を含む）を入力し、5 行に選択条件を貼る,1) ケーシング 3 行を「全部入れる」のが正しい姿（ここで削ってはいけない） / 2) 選択条件は行ごとに入力。構文エラーは保存時に検出される（綴り・引用符を疑う）,自システムでの確認：CS03 の明細と選択条件を 1 行ずつ目視。有効開始日が受注日より前であること（例 当年 1/1）。
48,sapvc,handson-3.html,3-2 スーパー BOM の登録（CS01）,,.png,BOM ヘッダ：有効日と設定可能品目の注意メッセージ,CS01,3-2 有効日が受注日より前でないと CU50 / VA01 で展開されない,1) 有効日は受注日より前に。ここが原因の「部品が出ない」が最も多い,自システムでの確認：CS03 のヘッダ有効日と明細数。「品目は設定可能」の注意メッセージが出ることがある（正常）。
49,sapvc,handson-3.html,3-3 依存関係の作成（CU01〜CU03）,,.png,依存関係 5 本の一覧（種類・適用先・式）,CU01,3-3 前提条件 1 本・選択条件 4 本・手続き 1 本を正しい適用先に貼る,1) 前提条件は特徴値に、選択条件は BOM 明細／工程に貼る（適用先を間違えると無反応） / 2) 比較演算子の大小（>=）は数値特徴（NUM）でないと使えない,自システムでの確認：CU03 の「適用先 / 使用箇所一覧」に 5 本すべての貼り付け先が出るか（ここに出ない依存関係は絶対に発火しない）。
50,sapvc,handson-3.html,3-3 依存関係の作成（CU01〜CU03）,,.png,依存関係の照会：適用先 / 使用箇所一覧,CU03,3-3 「どこに貼られているか」が見えない依存関係は発火しない,1) 適用先が見える＝発火する。無反応の第一チェックはこの画面,自システムでの確認：CU03 の使用箇所一覧に BOM 明細と工程が出るか。出ない場合は適用先の指定違いを疑う。
51,sapvc,handson-3.html,3-4 数量を設定値で変える（容量 120 → モータ 2 台）,,.png,モータの明細を 2 行にして選択条件で排他する（方式 A）,CS02,3-4 数量 1 の行と数量 2 の行を選択条件で排他にする（確実な方式）,1) 見た目は増えるが挙動が読みやすく故障切り分けが楽（推奨） / 2) 手続き方式は実行順・項目名・再展開に依存する（後から読む人が理解しづらい）,自システムでの確認：CS03 で 2 行と選択条件を確認 → CU50 で容量 80 と 120 を切り替えて数量が 1／2 になるか。方式 B は項目名を CA03 / CS03 の画面で確認してから。
52,sapvc,handson-3.html,3-5 CU50 で BOM 展開の切替を確認する（本练习のクライマックス）,,.png,BOM 展開「なし」：構成品目は出ない,CU50,3-5 展開レベルを切り替えて設定値が構成品目をどう変えるかを見る,1) 親品目だけが出る＝正常。「部品が出ない」の原因は展開指定（CU50）と処理形式（CU43）の 2 箇所,自システムでの確認：CU50 の BOM 展開を しない / 1 階層 / 多階層 で切り替えて結果を比較（SAP Help の「BOM 展開レベル」の説明と一致するか）。
53,sapvc,handson-3.html,3-5 CU50 で BOM 展開の切替を確認する（本练习のクライマックス）,,.png,BOM 展開「1 階層」：選択条件で絞られた構成品目,CU50,3-5 容量 80・SUS316・EPOXY・PG_FG の展開結果（ケーシングは SUS316 の 1 行だけ）,1) 材質別 3 行のうち 1 行だけが残る＝選択条件が効いている証拠 / 2) 「BOM は変わるのに工程が変わらない」は作業手順への貼り忘れの典型（CA03 を確認）,自システムでの確認：材質を FC200 に変えてケーシングが入れ替わるか、付属品 NONE で圧力計・流量計が消えるか、塗装 NONE で工程 0030 が消えるか。
54,sapvc,handson-4.html,4-1 受注登録と構成入力（VA01）,,.png,受注伝票の登録：明細（ZVC-PUMP01 × 10 台）,VA01,4-1 明細カテゴリが VC 用に決まり、構成ボタンが押せるか,1) 構成ボタンが出ない／グレー＝品目が設定可能でない・プロファイル未割当・明細カテゴリが構成不可 / 2) 希望納期は納入日程行。在庫ゼロでも希望のままなら MTO の正常動作,自システムでの確認：明細の明細カテゴリ（実測値を記録。TAN 系という記載もあるが環境差あり）と、構成ボタンの有無。
55,sapvc,handson-4.html,4-1 受注登録と構成入力（VA01）,,.png,受注の構成入力（設定画面）：容量 80 / SUS316 / EPOXY / PG_FG,VA01,4-1 前提条件・手続きが発火する場面（选べない値・自動で変わる値を観察する）,1) 前提条件で選べない値があること自体が設計どおり（止まるときは組合せを変更する） / 2) 構成を確定せずに保存すると「構成が不完全」エラーになる,自システムでの確認：VA03 → 明細 → 「構成」で設定値が保存されているか（受注の構成は業務データとして保存される）。
56,sapvc,handson-4.html,4-2 変種価格の確認（条件画面）,,.png,受注の条件画面：PR00 と VA00（変種条件）,VA03,"4-2 基本価格 850,000 と設定値にひもづく加算の行を確認する",1) キーに設定値（特徴値）が入っている＝特徴の追加データが効いている / 2) VA00 の行が出ない → 計算手続（V/08）→ 追加データ（CT04）→ 条件レコード（VK13）の順で疑う,自システムでの確認：VK13 の条件レコード一覧（キーの値と金額）と VA03 の条件画面（VA00 の行と決定キー）。金額は例。
57,sapvc,handson-4.html,4-3 所要量と MRP（MD04 / MD01N）,,.png,所要量と計画手配（受注在庫 E）,MD04,4-3 得意先所要量が出て、計画手配の在庫区分が受注在庫（E）になるか,1) 「得意先所要量」＝受注明細が需要として流れている証拠 / 2) 計画手配の在庫区分が E でない → MRP4 個別所要量と所要量クラスの在庫区分（C11）,自システムでの確認：MD04 の「得意先所要量」行に受注番号、計画手配の在庫区分＝受注在庫、MMBE に受注在庫 E の行。MRP 実行は MD01N（MRP Live）または MD02。
58,sapvc,handson-4.html,4-3 所要量と MRP（MD04 / MD01N）,,.png,受注在庫（特別在庫 E）の行,MMBE,4-3 KMAT に自由在庫は出ないが、受注在庫（E）の行は出る,1) 受注在庫の行が出ること＝戦略 25 / 所要量クラス 046 系の挙動,自システムでの確認：MMBE の在庫区分の行。MB52 でも同じ行が見える。構成品目側の所要量が MD04 に出ているかも確認（BOM が効いている証拠）。
59,sapvc,handson-4.html,4-4 製造指図への設定値伝搬（CO40 / CO08 / CO03）,,.png,製造指図の照会：構成（設定値の伝搬）,CO03,4-4 指図の「構成」に受注で選んだ設定値が表示される（本练习の核心）,1) ヘッダの受注明細参照が無い＝構成が引き継がれない第一嫌疑 / 2) 指図作成後に受注の構成を変えても指図は自動で変わらない（再展開が必要。练习⑤）,自システムでの確認：CO03 の「構成」ボタンで設定値、指図ヘッダの受注明細への参照（販売伝票・販売伝票明細）。
